Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79458,751,147,898,78132,25036,1361,3439,0,20,16,1,3,18,67
Tarapacá,113139,1053,119,1172,111576,28893,840,10389,0,15,11,2,2,11,49
Antofagasta,182450,1656,301,1957,179735,31915,2189,6818,0,53,32,4,17,30,150
Atacama,116030,594,121,715,114857,50088,1478,1741,0,43,24,18,1,33,146
Coquimbo,209670,1638,302,1940,206874,61814,1943,9402,0,57,46,5,6,41,154
Valparaíso,488118,5211,1234,6445,479312,142756,3116,50212,1,162,125,11,26,125,503
Metropolitana,1948788,24589,6208,30797,1909225,387816,26541,161604,1,601,423,26,152,378,1947
O’Higgins,219597,2240,577,2817,215748,68433,1394,14800,0,84,70,1,13,62,245
Maule,344351,2824,509,3333,339196,107908,4473,10643,0,78,51,7,20,55,275
Ñuble,156871,1119,200,1319,154596,53580,1637,10182,0,60,52,2,6,57,173
Biobío,506386,4111,695,4806,498845,119772,3975,35895,0,176,122,7,47,133,506
Araucanía,291698,2324,583,2907,287195,55992,4259,11319,0,68,42,2,24,39,219
Los Ríos,146735,1167,235,1402,144340,44644,1704,6034,0,76,53,3,20,68,183
Los Lagos,241108,2185,379,2564,237111,37905,4240,16328,0,70,38,7,25,31,189
Aysén,35953,193,27,220,35547,13943,2190,1794,0,12,8,3,1,10,29
Magallanes,67289,667,106,773,66102,11481,2711,3289,0,10,8,1,1,6,27
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5147683,52322,11745,64067,5058432,1241976,64051,353889,2,1585,1121,100,364,1097,4862
