Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80056,731,113,844,78707,25450,1397,3439,0,9,5,4,0,5,19
Tarapacá,114214,1034,99,1133,112589,29675,913,10389,0,23,18,1,4,20,55
Antofagasta,185914,1646,189,1835,183161,33891,2419,6818,0,43,26,2,15,23,86
Atacama,119710,587,98,685,118407,53111,1833,1741,0,66,34,8,24,61,207
Coquimbo,213392,1626,240,1866,210486,64893,2206,9406,0,55,43,2,10,47,100
Valparaíso,502283,5175,1011,6186,493157,153299,3658,50213,0,172,112,21,39,114,395
Metropolitana,1998979,24642,4538,29180,1958523,418182,30751,161615,1,565,358,25,182,312,1301
O’Higgins,226324,2239,432,2671,222361,73393,1653,14808,0,74,51,5,18,56,189
Maule,351541,2802,414,3216,346172,112530,4731,10638,0,74,47,6,21,46,175
Ñuble,161448,1114,160,1274,159071,57377,2031,10179,0,46,37,0,9,38,117
Biobío,518276,4069,565,4634,510508,127486,4768,35892,0,128,82,1,45,81,335
Araucanía,297203,2339,469,2808,292502,59622,4673,11318,0,51,28,6,17,28,129
Los Ríos,149977,1182,209,1391,147573,47462,1892,6033,0,19,15,0,4,17,46
Los Lagos,245298,2202,268,2470,241193,40126,4446,16327,0,24,19,2,3,18,60
Aysén,37252,193,24,217,36838,14837,2641,1794,0,5,4,0,1,2,13
Magallanes,68632,646,57,703,67357,12315,3101,3289,0,17,10,3,4,11,49
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5270541,52227,8887,61114,5178646,1323649,73113,353899,1,1371,889,86,396,879,3276
