Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80384,736,113,849,78865,25703,1430,3436,0,3,2,0,1,2,5
Tarapacá,115024,1042,99,1141,113266,30287,946,10388,0,2,2,0,0,2,7
Antofagasta,186582,1655,189,1844,183556,34205,2481,6816,0,7,5,0,2,2,20
Atacama,120916,601,98,699,119585,54066,1975,1741,0,0,0,0,0,0,5
Coquimbo,214547,1652,241,1893,211238,65764,2477,9400,0,17,14,2,1,13,29
Valparaíso,505014,5259,1014,6273,494846,155243,3787,50211,0,26,19,1,6,21,42
Metropolitana,2007079,24856,4551,29407,1963051,422510,31671,161596,0,41,28,1,12,26,82
O’Higgins,227197,2261,433,2694,222843,73940,1685,14805,0,2,2,0,0,2,6
Maule,352454,2828,416,3244,346378,112989,4780,10633,0,0,0,0,0,0,1
Ñuble,162199,1125,160,1285,159492,58023,2092,10178,0,0,0,0,0,0,1
Biobío,519734,4094,568,4662,511055,128272,4882,35885,0,7,2,2,3,1,12
Araucanía,297858,2369,471,2840,292394,59945,4743,11307,0,1,1,0,0,1,1
Los Ríos,150139,1191,211,1402,147385,47571,1916,6033,0,1,1,0,0,1,3
Los Lagos,245672,2210,269,2479,240978,40261,4535,16321,0,5,2,3,0,5,9
Aysén,37369,195,24,219,36902,14916,2686,1794,0,2,2,0,0,0,1
Magallanes,69070,650,57,707,67603,12547,3199,3288,0,22,7,1,14,18,36
Se desconoce región de origen,41,0,1,1,40,0,0,0,0,0,0,0,0,0,0
Total,5291279,52724,8915,61639,5189477,1336242,75285,353832,0,136,87,10,39,94,260
