Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79239,749,147,896,77980,24877,1347,3439,0,6,5,1,0,5,29
Tarapacá,112840,1050,119,1169,111303,28690,824,10389,0,18,13,0,5,10,50
Antofagasta,181754,1646,301,1947,179108,31544,2145,6819,0,31,22,4,5,22,133
Atacama,115175,592,121,713,114011,49378,1412,1741,0,25,20,0,5,23,161
Coquimbo,208481,1625,302,1927,205682,60876,1870,9403,1,59,50,2,7,51,219
Valparaíso,484878,5187,1234,6421,476265,140410,3012,50209,1,129,85,6,38,87,501
Metropolitana,1937200,24504,6206,30710,1898746,380852,25604,161597,1,451,297,19,135,300,1504
O’Higgins,218232,2234,577,2811,214528,67407,1327,14798,0,48,39,3,6,29,180
Maule,342652,2800,507,3307,337610,106861,4396,10644,0,67,48,5,14,41,295
Ñuble,155666,1112,199,1311,153459,52539,1525,10182,0,50,37,1,12,39,168
Biobío,503070,4082,692,4774,495765,117410,3754,35895,0,126,85,4,37,91,448
Araucanía,290213,2301,583,2884,285795,55133,4171,11318,0,62,35,8,19,35,241
Los Ríos,145719,1159,234,1393,143432,43778,1622,6034,0,45,40,0,5,41,136
Los Lagos,240083,2174,378,2552,236218,37451,4171,16328,0,38,15,1,22,17,141
Aysén,35584,190,27,217,35192,13713,2019,1794,0,6,4,1,1,3,25
Magallanes,67124,666,106,772,65947,11384,2673,3289,0,14,8,0,6,4,37
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5117952,52071,11735,63806,5031082,1222303,61872,353879,3,1175,803,55,317,798,4268
