Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79625,753,147,900,78305,25152,1369,3439,0,25,18,3,4,18,47
Tarapacá,113360,1053,119,1172,111789,29051,849,10389,0,22,17,0,5,20,47
Antofagasta,183048,1658,301,1959,180305,32290,2217,6818,0,83,59,1,23,55,157
Atacama,116442,596,121,717,115292,50435,1524,1741,0,38,31,5,2,35,105
Coquimbo,210421,1646,302,1948,207559,62423,2007,9402,0,96,84,4,8,85,184
Valparaíso,490404,5218,1234,6452,481418,144530,3211,50210,0,339,262,8,69,269,608
Metropolitana,1957626,24626,6210,30836,1917485,393450,27292,161603,2,1111,755,42,314,753,2196
O’Higgins,220675,2244,577,2821,216748,69258,1438,14800,0,144,120,7,17,115,293
Maule,345498,2835,509,3344,340257,108674,4526,10642,0,162,117,4,41,119,302
Ñuble,157563,1123,201,1324,155263,54178,1708,10181,0,89,82,0,7,80,172
Biobío,508676,4120,696,4816,500979,121409,4137,35895,0,246,145,5,96,157,578
Araucanía,292654,2334,583,2917,288105,56624,4328,11319,0,126,78,10,38,80,212
Los Ríos,147467,1171,235,1406,145044,45292,1729,6034,0,93,58,12,23,84,190
Los Lagos,242006,2189,380,2569,237918,38372,4284,16328,0,129,79,20,30,78,243
Aysén,36170,194,27,221,35750,14110,2260,1794,0,11,3,4,4,11,41
Magallanes,67462,667,106,773,66243,11591,2745,3289,0,28,22,1,5,18,49
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5169139,52427,11750,64177,5078501,1256839,65624,353884,2,2742,1930,126,686,1977,5424
