Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72167,713,144,857,71017,20627,1132,3441,0,18,0,2,16,12,109
Tarapacá,102396,1015,119,1134,100945,21540,597,10391,0,11,4,1,6,3,132
Antofagasta,164785,1580,297,1877,162364,24612,1464,6821,0,31,7,0,24,11,253
Atacama,100841,559,117,676,99797,38255,798,1745,0,26,2,0,24,22,234
Coquimbo,185692,1531,297,1828,183211,46987,1050,9391,0,51,17,0,34,32,350
Valparaíso,426211,4841,1225,6066,418415,106168,1901,50204,1,149,17,2,130,99,1076
Metropolitana,1740108,23429,6164,29593,1704815,294252,17080,161584,2,435,39,16,380,194,3266
O’Higgins,195986,2101,573,2674,192535,55077,928,14798,0,54,21,1,32,22,483
Maule,306721,2608,504,3112,302121,89072,3355,10644,1,125,42,3,80,50,767
Ñuble,132483,1000,194,1194,130424,40107,797,10181,0,108,29,2,77,55,496
Biobío,448809,3831,685,4516,441713,90524,2328,35903,0,201,35,3,163,85,1480
Araucanía,263815,2141,576,2717,259981,46173,1942,11314,0,66,8,4,54,29,481
Los Ríos,130357,1077,231,1308,128384,32993,1011,6034,0,29,6,0,23,19,279
Los Lagos,224805,2048,374,2422,221444,31893,3571,16332,0,30,11,0,19,6,246
Aysén,31443,173,27,200,31098,11124,1296,1794,0,10,1,0,9,7,59
Magallanes,61872,642,105,747,60848,8776,1868,3289,0,9,1,0,8,5,63
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4588533,49289,11634,60923,4509153,958180,41118,353866,4,1353,240,34,1079,651,9774
