Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80331,736,113,849,78848,25664,1426,3438,0,3,3,0,0,3,6
Tarapacá,114896,1041,99,1140,113160,30198,935,10389,0,5,5,0,0,5,15
Antofagasta,186475,1654,189,1843,183508,34155,2468,6818,0,2,1,0,1,0,9
Atacama,120876,600,98,698,119581,54034,1967,1742,0,1,1,0,0,1,5
Coquimbo,214425,1648,240,1888,211208,65670,2452,9400,0,9,9,0,0,8,19
Valparaíso,504718,5259,1013,6272,494783,155005,3767,50215,0,2,1,0,1,1,23
Metropolitana,2006480,24847,4550,29397,1963298,422280,31600,161615,0,11,3,0,8,4,57
O’Higgins,227164,2261,433,2694,222901,73924,1684,14808,0,3,0,0,3,0,5
Maule,352425,2827,416,3243,346494,112978,4777,10638,0,0,0,0,0,0,2
Ñuble,162180,1125,160,1285,159536,58006,2088,10180,0,1,1,0,0,1,3
Biobío,519636,4093,568,4661,511181,128235,4878,35888,0,3,1,0,2,1,8
Araucanía,297824,2369,471,2840,292463,59929,4740,11316,0,3,1,1,1,2,4
Los Ríos,150129,1191,211,1402,147433,47564,1913,6033,0,0,0,0,0,0,0
Los Lagos,245590,2210,269,2479,240996,40232,4487,16327,0,2,1,0,1,2,6
Aysén,37349,195,24,219,36897,14907,2686,1794,0,2,2,0,0,2,2
Magallanes,68859,650,57,707,67456,12446,3160,3288,0,2,0,0,2,0,5
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5289399,52706,8912,61618,5189784,1335227,75028,353889,0,49,29,1,19,30,169
