Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,71268,705,143,848,69818,20132,1093,3441,0,57,41,14,2,37,439
Tarapacá,100893,1006,119,1125,98845,20792,587,10393,0,94,50,40,4,49,765
Antofagasta,162358,1561,294,1855,159172,23903,1380,6821,0,78,65,9,4,48,1075
Atacama,98357,548,116,664,96707,36597,748,1745,0,104,45,34,25,74,886
Coquimbo,181604,1508,297,1805,178158,45170,985,9393,0,195,147,35,13,80,1399
Valparaíso,417372,4790,1224,6014,408586,102216,1818,50202,2,285,219,16,50,190,2255
Metropolitana,1713364,23288,6155,29443,1674710,286271,16261,161575,8,909,535,83,291,350,7288
O’Higgins,192166,2082,573,2655,188029,53652,887,14799,1,163,136,14,13,74,1255
Maule,298765,2577,504,3081,292690,86244,2953,10640,0,294,266,24,4,145,2363
Ñuble,128688,986,194,1180,126097,38302,748,10182,2,163,133,16,14,86,1084
Biobío,437948,3776,685,4461,428868,86360,2185,35909,0,404,295,48,61,184,3640
Araucanía,258437,2109,575,2684,253260,44932,1784,11313,1,292,137,18,137,80,1932
Los Ríos,127864,1061,230,1291,125349,31743,956,6034,0,119,74,7,38,72,883
Los Lagos,221556,2027,374,2401,217493,31060,3459,16333,0,121,67,17,37,21,1030
Aysén,30806,167,27,194,30338,10751,1145,1794,0,16,9,5,2,6,198
Magallanes,61186,638,104,742,59947,8484,1823,3289,0,54,38,0,16,23,301
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4502674,48829,11616,60445,4408108,926609,38812,353863,14,3348,2257,380,711,1519,26793
