Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,57647,673,140,813,56193,12847,563,3440,0,61,18,39,4,23,549
Tarapacá,82022,974,118,1092,80441,10628,352,10395,0,51,23,19,9,14,397
Antofagasta,131303,1491,287,1778,127723,12881,828,6823,0,264,106,121,37,74,1660
Atacama,73592,484,114,598,71297,20587,357,1746,0,222,85,29,108,139,1673
Coquimbo,141098,1408,292,1700,136262,26696,529,9390,2,510,359,86,65,172,3046
Valparaíso,353700,4494,1214,5708,340839,76881,1230,50208,0,1053,518,91,444,316,7180
Metropolitana,1543558,22498,6096,28594,1494459,240231,12378,161563,6,2806,1361,249,1196,649,20581
O’Higgins,163854,1976,565,2541,158905,38593,602,14806,1,312,192,16,104,109,2391
Maule,256577,2455,499,2954,250959,68847,1253,10641,1,396,283,109,4,127,2365
Ñuble,107977,930,192,1122,105581,28022,478,10182,1,180,103,15,62,84,1106
Biobío,375960,3644,678,4322,366749,63906,1457,35906,3,672,372,122,178,164,4345
Araucanía,223681,2019,571,2590,219613,36501,1145,11315,0,255,124,21,110,36,1202
Los Ríos,110054,1002,228,1230,107728,22826,601,6035,1,138,60,4,74,45,896
Los Lagos,199613,1964,372,2336,196148,25315,2807,16325,0,148,69,47,32,16,750
Aysén,26162,159,27,186,25650,8154,753,1795,0,43,28,7,8,23,268
Magallanes,54374,608,103,711,53220,6205,1321,3294,0,38,18,0,20,7,321
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3901215,46779,11498,58277,3791809,699120,26654,353864,15,7149,3719,975,2455,1998,48730
