Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,59211,675,141,816,57465,13732,610,3441,1,206,106,82,18,113,832
Tarapacá,83515,974,118,1092,81506,11391,379,10395,0,267,140,83,44,143,812
Antofagasta,135059,1492,287,1779,131403,14103,888,6822,0,542,210,196,136,148,1722
Atacama,77451,489,114,603,75063,23238,407,1747,0,467,191,93,183,316,1750
Coquimbo,148078,1417,293,1710,143633,29941,588,9390,3,787,456,211,120,338,2628
Valparaíso,367933,4529,1218,5747,357143,82333,1337,50215,2,1535,835,174,526,534,5003
Metropolitana,1580618,22618,6112,28730,1538374,250434,13094,161554,5,3692,2011,488,1193,1045,13306
O’Higgins,169130,1989,567,2556,164367,41405,650,14804,0,680,422,147,111,379,2159
Maule,261492,2462,499,2961,256477,70934,1396,10642,0,561,429,72,60,215,1712
Ñuble,110845,931,192,1123,108427,29486,513,10182,0,338,240,34,64,144,1107
Biobío,385843,3660,679,4339,376783,67247,1559,35904,1,1126,547,252,327,395,4123
Araucanía,227533,2022,571,2593,223157,37387,1192,11312,0,498,196,40,262,97,1470
Los Ríos,112084,1003,228,1231,109850,23648,650,6034,0,249,121,28,100,111,776
Los Lagos,201722,1969,373,2342,198123,25851,2833,16325,0,333,180,82,71,89,840
Aysén,26761,160,27,187,26294,8503,822,1795,0,80,47,20,13,40,220
Magallanes,55220,610,104,714,53983,6480,1352,3292,0,129,59,8,62,49,392
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,4002538,47000,11525,58525,3902090,736113,28270,353854,12,11490,6190,2010,3290,4156,38852
