Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,63760,680,142,822,61701,16089,794,3441,0,222,113,74,35,113,1111
Tarapacá,89474,980,118,1098,86744,14652,470,10394,0,273,144,101,28,165,1507
Antofagasta,146365,1520,288,1808,141572,17966,1098,6823,2,521,234,189,98,189,2788
Atacama,87222,513,116,629,84517,29501,559,1746,0,368,145,69,154,222,2020
Coquimbo,161315,1451,295,1746,157019,35897,710,9393,3,550,271,225,54,263,2385
Valparaíso,387747,4667,1221,5888,378362,89837,1520,50209,1,751,421,66,264,325,3274
Metropolitana,1633679,22941,6134,29075,1595183,263343,14298,161554,6,1897,964,230,703,456,8553
O’Higgins,177800,2028,571,2599,173539,46005,733,14802,1,333,213,58,62,180,1547
Maule,271581,2504,503,3007,266124,75033,1731,10641,0,496,380,67,49,217,2000
Ñuble,116398,943,192,1135,114001,32194,578,10184,1,282,164,13,105,139,1016
Biobío,403328,3704,684,4388,394732,73338,1791,35902,1,828,450,194,184,313,3464
Araucanía,236628,2048,573,2621,232065,39588,1381,11313,0,424,244,48,132,118,1537
Los Ríos,116442,1017,228,1245,114049,25705,725,6035,0,230,126,27,77,120,882
Los Lagos,207525,1986,374,2360,203663,27324,3025,16326,0,223,148,41,34,56,993
Aysén,28105,161,27,188,27573,9171,932,1795,0,53,25,15,13,28,278
Magallanes,57835,617,104,721,56478,7319,1518,3292,0,95,52,11,32,27,479
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,4185247,47760,11572,59332,4087364,802962,31863,353850,15,7546,4094,1428,2024,2931,33834
