Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80202,734,113,847,78805,25562,1416,3439,0,0,0,0,0,0,1
Tarapacá,114706,1040,99,1139,113068,30049,932,10389,0,5,2,1,2,4,6
Antofagasta,186328,1651,189,1840,183554,34098,2458,6818,0,0,0,0,0,0,0
Atacama,120751,598,98,696,119558,53936,1950,1741,0,12,4,7,1,10,24
Coquimbo,214292,1644,240,1884,211326,65573,2439,9401,0,5,5,0,0,5,8
Valparaíso,504387,5238,1012,6250,495164,154802,3748,50209,1,15,5,6,4,9,37
Metropolitana,2005688,24804,4543,29347,1964910,421966,31504,161607,1,34,17,7,10,13,67
O’Higgins,227121,2257,433,2690,223161,73906,1683,14808,0,2,0,0,2,2,8
Maule,352375,2825,416,3241,346896,112947,4774,10640,0,2,1,1,0,2,3
Ñuble,162077,1121,160,1281,159666,57906,2072,10180,0,1,1,0,0,1,1
Biobío,519530,4087,566,4653,511698,128211,4870,35888,0,1,0,0,1,0,4
Araucanía,297781,2361,470,2831,292911,59912,4730,11315,0,0,0,0,0,0,2
Los Ríos,150105,1189,209,1398,147609,47561,1909,6033,0,2,1,0,1,1,2
Los Lagos,245541,2209,269,2478,241277,40217,4465,16327,0,2,0,1,1,1,4
Aysén,37335,194,24,218,36916,14896,2679,1794,0,0,0,0,0,0,0
Magallanes,68791,649,57,706,67490,12425,3143,3288,0,0,0,0,0,0,2
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5287052,52601,8899,61500,5194050,1333967,74772,353877,2,81,36,23,22,48,169
