Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72760,720,144,864,71561,20957,1159,3441,0,23,17,5,1,12,120
Tarapacá,103172,1027,119,1146,101651,21933,613,10391,0,46,23,9,14,27,158
Antofagasta,166562,1593,298,1891,163914,25230,1523,6823,1,140,58,24,58,38,414
Atacama,102281,564,117,681,101071,39282,842,1744,0,101,50,28,23,79,374
Coquimbo,188439,1546,298,1844,185785,48385,1085,9390,0,144,89,38,17,68,439
Valparaíso,434259,4895,1226,6121,425868,110227,1988,50207,3,500,288,64,148,213,1397
Metropolitana,1770973,23599,6170,29769,1731584,304888,18146,161579,3,2014,1141,142,731,710,6372
O’Higgins,199727,2123,574,2697,196015,56728,970,14801,2,201,121,32,48,103,629
Maule,313906,2645,504,3149,308656,91948,3715,10643,0,469,279,74,116,192,1256
Ñuble,136445,1010,194,1204,134071,42079,862,10182,1,211,138,9,64,106,726
Biobío,459183,3885,686,4571,451119,94982,2480,35898,0,690,404,124,162,357,2204
Araucanía,268094,2163,577,2740,263879,47346,2091,11313,5,283,205,36,42,61,707
Los Ríos,132425,1092,231,1323,130235,34236,1065,6034,0,174,91,39,44,102,397
Los Lagos,226767,2071,374,2445,223176,32568,3670,16330,0,127,81,16,30,43,361
Aysén,31845,174,27,201,31459,11378,1339,1794,0,19,11,0,8,10,85
Magallanes,62523,644,105,749,61390,9090,1920,3291,0,54,40,1,13,26,146
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4669403,49751,11646,61397,4581475,991257,43468,353861,15,5196,3036,641,1519,2147,15785
