Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80212,736,113,849,78800,25570,1416,3438,0,2,2,0,0,2,2
Tarapacá,114732,1041,99,1140,113074,30068,933,10389,0,2,1,0,1,2,6
Antofagasta,186351,1652,189,1841,183544,34103,2459,6818,0,2,1,0,1,0,3
Atacama,120805,600,98,698,119599,53978,1957,1742,0,2,2,0,0,2,11
Coquimbo,214315,1645,240,1885,211318,65593,2445,9401,0,0,0,0,0,0,1
Valparaíso,504482,5243,1012,6255,495146,154852,3750,50210,0,9,7,0,2,7,18
Metropolitana,2005910,24811,4543,29354,1964758,422066,31537,161611,0,17,9,1,7,6,57
O’Higgins,227138,2258,433,2691,223138,73913,1683,14809,0,0,0,0,0,0,3
Maule,352393,2825,416,3241,346837,112956,4775,10640,0,1,1,0,0,0,4
Ñuble,162108,1124,160,1284,159638,57935,2073,10180,0,1,0,1,0,1,12
Biobío,519556,4089,566,4655,511601,128220,4870,35889,0,1,1,0,0,1,1
Araucanía,297793,2364,470,2834,292836,59916,4732,11314,0,1,0,0,1,0,3
Los Ríos,150110,1189,210,1399,147581,47563,1910,6033,0,0,0,0,0,0,0
Los Lagos,245545,2209,269,2478,241225,40216,4466,16327,0,0,0,0,0,0,1
Aysén,37342,195,24,219,36918,14902,2686,1794,0,0,0,0,0,0,0
Magallanes,68800,649,57,706,67476,12429,3146,3288,0,0,0,0,0,0,1
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5287634,52630,8900,61530,5193530,1334280,74838,353883,0,38,24,2,12,21,123
