Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80221,736,113,849,78798,25577,1418,3438,0,3,2,0,1,3,3
Tarapacá,114764,1041,99,1140,113083,30091,934,10389,0,3,1,0,2,1,15
Antofagasta,186380,1652,189,1841,183534,34111,2462,6818,0,2,0,1,1,0,4
Atacama,120824,600,98,698,119601,53995,1958,1742,0,0,0,0,0,0,6
Coquimbo,214329,1645,240,1885,211286,65604,2447,9400,0,2,1,0,1,1,5
Valparaíso,504527,5249,1013,6262,495077,154880,3753,50211,0,3,0,0,3,1,8
Metropolitana,2006036,24826,4546,29372,1964509,422117,31551,161608,0,9,5,1,3,6,35
O’Higgins,227146,2260,433,2693,223090,73916,1684,14808,0,1,0,0,1,0,4
Maule,352408,2826,416,3242,346762,112969,4776,10641,0,0,0,0,0,0,2
Ñuble,162125,1124,160,1284,159623,57951,2074,10181,0,0,0,0,0,0,8
Biobío,519584,4089,567,4656,511519,128224,4871,35888,0,16,0,0,16,1,22
Araucanía,297800,2364,471,2835,292770,59918,4732,11314,0,0,0,0,0,0,0
Los Ríos,150110,1189,210,1399,147552,47563,1910,6033,0,0,0,0,0,0,0
Los Lagos,245554,2209,269,2478,241182,40219,4472,16327,0,0,0,0,0,0,0
Aysén,37343,195,24,219,36915,14902,2686,1794,0,0,0,0,0,0,0
Magallanes,68810,649,57,706,67472,12433,3149,3288,0,0,0,0,0,0,1
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5288003,52654,8906,61560,5192814,1334470,74877,353880,0,39,9,2,28,13,113
