Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,71958,711,144,855,70682,20507,1125,3441,0,19,10,8,1,6,241
Tarapacá,102144,1014,119,1133,100478,21417,597,10391,0,35,18,11,6,17,356
Antofagasta,164265,1577,296,1873,161482,24457,1441,6821,1,72,37,23,12,30,633
Atacama,100339,557,117,674,98879,37916,788,1745,0,74,27,14,33,51,659
Coquimbo,184840,1526,297,1823,181778,46567,1034,9392,0,122,61,45,16,39,951
Valparaíso,423777,4831,1225,6056,415199,104899,1878,50203,2,269,160,26,83,113,1910
Metropolitana,1732660,23390,6163,29553,1694757,291797,16854,161578,7,855,458,86,311,231,6047
O’Higgins,195041,2097,573,2670,191210,54685,918,14799,0,129,79,5,45,33,885
Maule,304730,2599,504,3103,299259,88303,3263,10647,1,235,176,33,26,65,1670
Ñuble,131455,994,194,1188,129101,39603,787,10182,1,111,81,9,21,40,811
Biobío,445946,3820,685,4505,437683,89317,2287,35905,0,350,191,34,125,110,2692
Araucanía,262492,2134,576,2710,258057,45838,1908,11315,2,173,85,30,58,20,1106
Los Ríos,129702,1073,231,1304,127473,32649,998,6034,0,70,36,3,31,30,552
Los Lagos,224116,2044,374,2418,220282,31700,3547,16334,1,83,43,15,25,13,740
Aysén,31289,172,27,199,30907,11040,1278,1794,0,28,20,4,4,18,101
Magallanes,61752,642,104,746,60642,8717,1859,3289,0,12,5,0,7,3,157
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4566548,49181,11631,60812,4477910,949412,40562,353870,15,2637,1487,346,804,819,19511
