Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80201,734,113,847,78804,25561,1416,3439,0,0,0,0,0,0,3
Tarapacá,114699,1040,99,1139,113061,30044,932,10389,0,1,0,0,1,0,8
Antofagasta,186327,1651,189,1840,183550,34098,2458,6818,0,1,1,0,0,1,5
Atacama,120734,598,98,696,119552,53923,1947,1741,0,3,2,0,1,0,16
Coquimbo,214286,1644,240,1884,211324,65567,2438,9401,0,2,2,0,0,2,8
Valparaíso,504366,5238,1012,6250,495153,154789,3748,50208,0,12,6,1,5,4,44
Metropolitana,2005641,24801,4543,29344,1964960,421949,31496,161607,2,19,13,1,5,9,65
O’Higgins,227117,2257,433,2690,223160,73904,1683,14808,0,3,2,0,1,2,7
Maule,352371,2825,416,3241,346899,112944,4774,10639,0,1,1,0,0,1,4
Ñuble,162077,1121,160,1281,159666,57905,2072,10180,0,0,0,0,0,0,2
Biobío,519527,4087,566,4653,511703,128211,4868,35888,0,0,0,0,0,0,10
Araucanía,297781,2361,470,2831,292911,59912,4730,11315,0,1,1,0,0,1,9
Los Ríos,150103,1189,209,1398,147609,47560,1908,6033,0,0,0,0,0,0,1
Los Lagos,245537,2209,269,2478,241280,40216,4463,16327,0,1,0,0,1,0,4
Aysén,37335,194,24,218,36915,14896,2679,1794,0,0,0,0,0,0,1
Magallanes,68789,649,57,706,67497,12425,3143,3288,0,0,0,0,0,0,0
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5286933,52598,8899,61497,5194085,1333904,74755,353875,2,44,28,2,14,20,187
