Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,73246,720,144,864,72066,21191,1170,3441,0,13,9,2,2,6,86
Tarapacá,103941,1028,119,1147,102433,22336,636,10391,0,30,19,2,9,19,122
Antofagasta,168323,1600,298,1898,165718,25863,1573,6824,0,77,48,5,24,33,331
Atacama,103742,568,117,685,102592,40364,889,1743,0,50,28,9,13,36,290
Coquimbo,191032,1558,298,1856,188335,49764,1174,9390,1,107,63,25,19,53,423
Valparaíso,442876,4926,1228,6154,434355,114580,2111,50205,0,371,238,19,114,207,1370
Metropolitana,1808188,23709,6175,29884,1768784,319688,19343,161589,3,1681,788,137,756,684,5878
O’Higgins,202941,2133,576,2709,199284,58313,996,14800,0,126,78,9,39,46,517
Maule,320500,2661,505,3166,315489,94837,3894,10644,1,293,154,40,99,124,915
Ñuble,140477,1022,195,1217,138163,44103,961,10184,1,187,111,5,71,93,604
Biobío,470561,3913,687,4600,462840,100097,2621,35895,0,382,210,57,115,188,1707
Araucanía,274434,2179,577,2756,270159,48995,3720,11318,0,206,59,33,114,36,668
Los Ríos,135066,1101,232,1333,132752,35924,1134,6035,0,124,65,3,56,66,458
Los Lagos,228948,2079,375,2454,225341,33220,3755,16332,0,73,29,13,31,14,305
Aysén,32549,175,27,202,32126,11750,1402,1794,0,26,11,10,5,9,112
Magallanes,63320,645,105,750,62198,9426,1997,3291,0,17,9,0,8,6,111
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4760186,50017,11660,61677,4672676,1030451,47376,353876,6,3763,1919,369,1475,1620,13897
