Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,74732,727,144,871,73388,21993,1220,3442,0,37,22,9,6,30,206
Tarapacá,105783,1032,119,1151,104109,23537,683,10390,0,87,52,3,32,55,264
Antofagasta,172684,1612,298,1910,169783,27543,1717,6821,0,125,58,18,49,45,569
Atacama,107121,572,117,689,105754,42958,1013,1741,0,119,55,31,33,91,462
Coquimbo,196875,1576,298,1874,193762,53149,1383,9392,0,223,140,50,33,130,756
Valparaíso,461376,5009,1231,6240,452083,124815,2384,50199,1,583,368,59,156,350,1853
Metropolitana,1863175,23987,6181,30168,1823501,344281,21165,161591,1,1514,751,121,642,688,5101
O’Higgins,209426,2165,576,2741,205430,62049,1093,14803,0,190,132,21,37,121,752
Maule,330429,2712,507,3219,325165,99878,4034,10642,0,287,144,46,97,141,974
Ñuble,148020,1053,197,1250,145542,47920,1143,10182,0,232,130,13,89,117,664
Biobío,483447,3961,688,4649,475747,106054,2801,35892,0,423,208,76,139,193,1440
Araucanía,281092,2216,580,2796,276662,51024,3878,11320,0,245,99,26,120,72,650
Los Ríos,139507,1118,232,1350,136970,38976,1299,6035,0,156,82,31,43,100,592
Los Lagos,233265,2103,376,2479,229194,34773,3893,16331,0,184,83,38,63,71,641
Aysén,33869,182,27,209,33438,12588,1621,1794,0,29,17,6,6,15,101
Magallanes,64692,654,105,759,63490,10089,2145,3290,0,26,14,1,11,16,150
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4905535,50679,11678,62357,4814059,1101627,51472,353865,2,4460,2355,549,1556,2235,15175
