Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,74077,724,144,868,72777,21639,1192,3441,0,89,52,24,13,51,182
Tarapacá,104963,1030,119,1149,103369,22967,667,10390,0,109,70,13,26,66,199
Antofagasta,170868,1606,298,1904,168132,26888,1671,6820,0,237,96,35,106,96,432
Atacama,105753,569,117,686,104491,41938,973,1742,0,152,78,39,35,129,378
Coquimbo,194408,1568,298,1866,191525,51727,1302,9391,0,300,229,54,17,195,567
Valparaíso,454535,4972,1230,6202,445515,121037,2260,50201,0,941,550,60,331,545,1698
Metropolitana,1844106,23878,6180,30058,1805137,336045,20455,161591,1,2323,1216,100,1007,1180,4797
O’Higgins,206800,2151,576,2727,202977,60504,1041,14803,0,298,179,67,52,219,627
Maule,326930,2693,507,3200,321747,98155,3981,10642,0,486,292,42,152,279,965
Ñuble,145219,1034,195,1229,142835,46569,1065,10183,0,266,144,11,111,177,622
Biobío,479044,3934,688,4622,471795,104039,2737,35894,0,496,239,50,207,254,1095
Araucanía,278812,2198,580,2778,274554,50312,3825,11319,0,253,108,14,131,95,561
Los Ríos,137761,1109,232,1341,135462,37795,1231,6035,0,203,116,54,33,152,398
Los Lagos,231395,2088,375,2463,227636,34104,3833,16330,1,225,97,25,103,98,399
Aysén,33430,178,27,205,32988,12325,1547,1794,0,63,46,4,13,55,123
Magallanes,64194,647,105,752,63036,9847,2086,3290,0,59,41,2,16,32,124
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4852337,50379,11673,62052,4764017,1075891,49866,353866,2,6500,3553,594,2353,3623,13167
