Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,74454,725,144,869,73150,21840,1209,3442,0,34,19,9,6,20,174
Tarapacá,105414,1031,119,1150,103817,23276,672,10390,0,43,24,3,16,33,195
Antofagasta,171926,1608,298,1906,169178,27272,1697,6821,0,115,86,9,20,69,426
Atacama,106525,572,117,689,105262,42490,998,1741,0,118,42,27,49,75,365
Coquimbo,195752,1574,298,1872,192972,52478,1358,9393,0,110,94,13,3,71,435
Valparaíso,458615,4989,1231,6220,449853,123188,2338,50202,0,339,273,5,61,262,1377
Metropolitana,1855618,23944,6181,30125,1817198,340890,20833,161595,1,932,518,43,371,533,4015
O’Higgins,208349,2159,576,2735,204554,61416,1063,14803,0,124,105,4,15,86,576
Maule,328999,2702,507,3209,324053,99150,4007,10642,0,136,85,6,45,75,685
Ñuble,146899,1048,196,1244,144586,47364,1118,10182,0,165,92,1,72,88,520
Biobío,481578,3946,688,4634,474344,105218,2764,35893,0,231,148,3,80,131,1017
Araucanía,280130,2204,580,2784,275921,50701,3853,11319,0,131,56,6,69,47,475
Los Ríos,138688,1112,232,1344,136444,38417,1270,6035,0,68,41,7,20,46,318
Los Lagos,232379,2096,376,2472,228627,34415,3864,16331,0,53,18,5,30,16,351
Aysén,33734,180,27,207,33334,12505,1620,1794,0,14,9,2,3,12,77
Magallanes,64480,650,105,755,63326,9974,2115,3290,0,20,12,1,7,11,110
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4883582,50540,11677,62217,4796660,1090594,50779,353873,1,2633,1622,144,867,1575,11116
