Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80176,733,113,846,78804,25543,1412,3439,0,3,3,0,0,3,7
Tarapacá,114578,1036,99,1135,112946,29951,927,10389,0,10,7,1,2,7,32
Antofagasta,186250,1650,189,1839,183511,34076,2450,6818,0,3,3,0,0,2,17
Atacama,120514,594,98,692,119305,53765,1924,1741,0,16,6,3,7,12,79
Coquimbo,214037,1638,240,1878,211106,65400,2340,9402,1,16,9,1,6,9,41
Valparaíso,503902,5224,1012,6236,494849,154465,3730,50207,0,19,10,2,7,12,88
Metropolitana,2004651,24753,4540,29293,1964457,421462,31388,161602,2,89,48,12,29,40,271
O’Higgins,227021,2256,433,2689,223095,73850,1679,14808,0,14,9,2,3,9,44
Maule,352263,2819,416,3235,346875,112901,4768,10638,0,13,8,0,5,8,46
Ñuble,161980,1117,160,1277,159636,57825,2068,10179,0,5,2,1,2,3,21
Biobío,519371,4082,566,4648,511698,128119,4857,35887,0,10,5,0,5,6,42
Araucanía,297697,2359,470,2829,292944,59883,4717,11314,0,7,4,1,2,1,22
Los Ríos,150087,1187,209,1396,147644,47548,1906,6033,0,3,2,0,1,2,5
Los Lagos,245501,2208,269,2477,241336,40205,4457,16328,0,1,0,0,1,1,7
Aysén,37314,194,24,218,36905,14877,2668,1794,0,0,0,0,0,0,2
Magallanes,68756,649,57,706,67490,12402,3137,3288,0,1,1,0,0,1,3
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5284140,52499,8896,61395,5192642,1332272,74428,353867,3,210,117,23,70,116,727
