Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,74695,727,144,871,73329,21963,1219,3442,0,70,33,30,7,39,229
Tarapacá,105695,1032,119,1151,104040,23482,682,10390,0,88,57,5,26,62,247
Antofagasta,172555,1611,298,1909,169669,27498,1714,6821,0,191,89,33,69,78,556
Atacama,106993,572,117,689,105650,42864,1009,1741,0,123,62,30,31,96,440
Coquimbo,196649,1575,298,1873,193594,53020,1381,9392,0,287,190,53,44,172,702
Valparaíso,460761,5007,1231,6238,451586,124465,2373,50200,0,623,367,66,190,386,1745
Metropolitana,1861533,23977,6181,30158,1822039,343586,21098,161594,3,1813,901,158,754,820,4955
O’Higgins,209233,2165,576,2741,205250,61928,1090,14803,0,263,160,41,62,150,744
Maule,330127,2710,507,3217,324936,99737,4025,10642,0,342,193,63,86,177,906
Ñuble,147785,1052,197,1249,145271,47800,1137,10182,0,328,187,11,130,132,705
Biobío,483015,3959,688,4647,475500,105861,2789,35893,0,475,224,81,170,201,1266
Araucanía,280842,2213,580,2793,276492,50951,3867,11319,0,225,89,19,117,62,579
Los Ríos,139348,1117,232,1349,136851,38876,1294,6035,0,216,121,43,52,153,555
Los Lagos,233079,2102,376,2478,229067,34703,3889,16331,0,232,90,44,98,75,590
Aysén,33840,181,27,208,33419,12573,1620,1794,0,40,22,10,8,19,96
Magallanes,64659,654,105,759,63460,10067,2137,3290,0,53,35,3,15,31,147
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4900851,50654,11678,62332,4810194,1099374,51324,353869,3,5369,2820,690,1859,2653,14462
