Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72645,718,144,862,71433,20880,1152,3441,0,30,11,19,0,19,135
Tarapacá,103009,1026,119,1145,101503,21834,611,10391,0,22,13,2,7,10,148
Antofagasta,166170,1592,298,1890,163607,25080,1512,6822,0,65,28,13,24,25,336
Atacama,101923,563,117,680,100780,39005,823,1745,0,65,25,21,19,41,309
Coquimbo,187959,1543,298,1841,185253,48130,1078,9390,0,100,70,22,8,56,503
Valparaíso,432726,4888,1225,6113,424328,109420,1969,50202,0,277,181,21,75,141,1455
Metropolitana,1764199,23571,6168,29739,1725134,302097,17925,161578,4,1355,762,144,449,519,6211
O’Higgins,199089,2119,574,2693,195323,56416,964,14799,0,184,119,35,30,67,703
Maule,312539,2640,504,3144,307337,91328,3676,10645,1,241,160,20,61,102,1228
Ñuble,135653,1007,194,1201,133270,41659,843,10182,0,165,112,10,43,93,753
Biobío,456938,3879,685,4564,449162,93832,2440,35898,0,399,225,77,97,165,1949
Araucanía,267313,2161,576,2737,262970,47106,2060,11308,0,211,138,24,49,49,855
Los Ríos,132015,1091,231,1322,129864,33969,1054,6034,0,65,35,12,18,43,370
Los Lagos,226424,2068,374,2442,222825,32412,3644,16331,0,102,48,15,39,34,387
Aysén,31765,174,27,201,31402,11328,1338,1794,0,18,8,7,3,13,66
Magallanes,62367,644,105,749,61277,9010,1910,3291,0,13,9,1,3,5,110
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4652776,49684,11641,61325,4565509,983506,42999,353851,5,3312,1944,443,925,1382,15518
