Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,70374,701,143,844,68408,19633,1054,3441,0,161,75,67,19,87,975
Tarapacá,99373,999,118,1117,96773,20024,571,10393,0,248,130,95,23,117,1331
Antofagasta,160160,1556,294,1850,156305,23177,1327,6821,0,350,164,106,80,120,1769
Atacama,96487,544,116,660,94385,35423,708,1745,0,257,100,74,83,135,1353
Coquimbo,178271,1493,297,1790,173863,43810,943,9391,0,466,284,135,47,194,2398
Valparaíso,412052,4768,1223,5991,401888,100065,1770,50203,1,830,430,85,315,306,3739
Metropolitana,1696857,23206,6150,29356,1655788,281514,15856,161568,6,2322,1233,276,813,691,10062
O’Higgins,189474,2072,573,2645,184682,52400,849,14801,0,408,267,67,74,217,1939
Maule,292819,2558,504,3062,285340,83900,2647,10641,0,951,566,201,184,337,3834
Ñuble,126089,982,194,1176,122981,37165,706,10180,0,382,185,42,155,154,1631
Biobío,430628,3761,685,4446,420380,83743,2119,35909,2,1058,533,276,249,386,4874
Araucanía,253778,2092,574,2666,247843,43902,1700,11313,2,750,297,168,285,149,2743
Los Ríos,125818,1047,230,1277,122672,30735,907,6034,0,329,163,30,136,150,1540
Los Lagos,218936,2015,374,2389,214051,30470,3368,16330,1,541,252,125,164,105,1896
Aysén,30368,166,27,193,29716,10509,1140,1794,0,90,58,18,14,35,387
Magallanes,60547,634,104,738,59076,8251,1754,3290,1,96,61,6,29,26,550
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4442073,48594,11608,60202,4334192,904721,37419,353854,13,9239,4798,1771,2670,3209,41021
