Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79347,750,147,897,78053,24949,1355,3439,0,13,13,0,0,10,47
Tarapacá,113056,1052,119,1171,111508,28820,837,10389,0,15,14,0,1,13,40
Antofagasta,182198,1653,301,1954,179549,31778,2178,6818,0,30,20,1,9,16,98
Atacama,115812,594,121,715,114640,49906,1449,1741,0,45,26,9,10,38,155
Coquimbo,209362,1636,302,1938,206601,61569,1926,9401,0,46,35,2,9,33,139
Valparaíso,487187,5203,1234,6437,478491,142067,3081,50211,0,142,105,13,24,108,447
Metropolitana,1945156,24569,6207,30776,1905997,385541,26256,161605,2,561,370,22,169,361,1744
O’Higgins,219181,2238,577,2815,215382,68110,1378,14800,2,66,55,1,10,51,220
Maule,343841,2820,509,3329,338782,107601,4443,10643,0,74,55,2,17,53,224
Ñuble,156538,1119,200,1319,154298,53277,1602,10181,0,37,35,0,2,33,151
Biobío,505380,4104,695,4799,497914,119045,3900,35895,0,171,113,14,44,120,488
Araucanía,291289,2310,583,2893,286842,55751,4239,11318,0,65,42,7,16,46,203
Los Ríos,146421,1163,235,1398,144083,44365,1689,6034,0,40,37,1,2,38,143
Los Lagos,240790,2183,379,2562,236834,37749,4206,16328,0,61,34,8,19,33,171
Aysén,35900,193,27,220,35502,13901,2188,1794,0,13,8,3,2,10,22
Magallanes,67232,667,106,773,66055,11448,2699,3289,0,6,3,1,2,1,23
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5138732,52254,11744,63998,5050572,1235877,63426,353886,4,1385,965,84,336,964,4315
