Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72316,717,144,861,71141,20713,1139,3441,0,16,14,2,0,12,115
Tarapacá,102651,1020,119,1139,101140,21652,603,10391,0,22,11,11,0,10,180
Antofagasta,165252,1586,297,1883,162709,24770,1484,6822,1,29,21,5,3,20,348
Atacama,101234,562,117,679,100112,38532,803,1746,0,33,19,9,5,23,300
Coquimbo,186599,1534,297,1831,183844,47450,1060,9392,1,70,57,8,5,40,593
Valparaíso,428684,4865,1225,6090,420418,107439,1920,50204,2,192,134,12,46,127,1457
Metropolitana,1748224,23484,6166,29650,1710923,296856,17372,161583,3,594,342,59,193,222,4915
O’Higgins,197211,2106,573,2679,193379,55604,943,14799,1,103,79,9,15,49,825
Maule,309081,2619,504,3123,303860,90021,3517,10645,2,193,174,11,8,95,1331
Ñuble,133749,1002,194,1196,131397,40714,817,10181,0,112,91,9,12,63,763
Biobío,452051,3855,685,4540,444067,91845,2368,35902,1,270,204,31,35,130,2282
Araucanía,265139,2148,576,2724,260975,46501,1980,11311,0,102,51,5,46,29,753
Los Ríos,131018,1083,231,1314,128838,33384,1023,6035,1,68,54,1,13,51,454
Los Lagos,225392,2055,374,2429,221887,32059,3603,16331,0,40,21,7,12,12,346
Aysén,31570,173,27,200,31191,11200,1302,1794,0,10,5,3,2,9,90
Magallanes,62065,642,105,747,60979,8870,1886,3290,0,19,15,0,4,9,118
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4612278,49451,11636,61087,4526901,967610,41820,353867,12,1873,1292,182,399,901,14870
