Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,56607,673,140,813,55475,12347,541,3440,0,28,16,12,0,14,234
Tarapacá,81010,973,118,1091,79541,10234,336,10396,1,47,29,14,4,23,305
Antofagasta,127569,1486,287,1773,124624,11758,754,6823,0,127,57,47,23,34,1054
Atacama,69195,480,113,593,67771,18045,309,1744,0,99,57,35,7,92,823
Coquimbo,133172,1393,291,1684,129944,23105,477,9385,0,234,148,35,51,94,1475
Valparaíso,332179,4450,1213,5663,321559,69381,1101,50221,3,926,510,84,332,336,5052
Metropolitana,1475135,22360,6086,28446,1426194,222657,11219,161576,6,3617,1665,319,1633,833,20908
O’Higgins,157320,1967,563,2530,153267,35411,554,14807,0,245,161,30,54,108,1535
Maule,249391,2440,499,2939,244355,65991,1037,10642,2,319,251,56,12,138,1864
Ñuble,104674,928,191,1119,102674,26464,443,10179,0,136,73,12,51,57,737
Biobío,365317,3626,676,4302,357895,60749,1340,35901,0,429,214,59,156,99,2667
Araucanía,220270,2016,570,2586,216905,35743,1093,11312,1,139,57,16,66,25,570
Los Ríos,107989,1000,228,1228,106111,22029,569,6035,0,76,41,1,34,37,486
Los Lagos,197438,1959,372,2331,194375,24843,2790,16326,1,63,27,17,19,8,396
Aysén,25485,158,27,185,25171,7771,721,1796,0,13,7,3,3,9,75
Magallanes,53426,603,103,706,52323,5899,1263,3293,0,35,20,1,14,7,288
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3756220,46512,11479,57991,3658226,652427,24547,353876,14,6533,3333,741,2459,1914,38469
