Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80047,731,113,844,78707,25445,1397,3439,0,8,4,2,2,5,13
Tarapacá,114191,1034,99,1133,112578,29655,911,10389,0,27,16,5,6,21,47
Antofagasta,185868,1646,189,1835,183135,33867,2411,6818,0,32,18,2,12,16,69
Atacama,119639,586,98,684,118340,53045,1824,1741,0,112,61,25,26,98,205
Coquimbo,213336,1625,240,1865,210465,64847,2206,9406,0,40,37,1,2,39,77
Valparaíso,502106,5171,1011,6182,493041,153187,3646,50213,0,196,119,19,58,142,358
Metropolitana,1998390,24639,4536,29175,1958072,417872,30686,161615,1,554,362,22,170,377,1208
O’Higgins,226249,2237,432,2669,222298,73337,1650,14808,0,77,57,7,13,70,185
Maule,351465,2800,414,3214,346129,112483,4729,10638,0,67,43,4,20,42,160
Ñuble,161401,1114,160,1274,159028,57340,2026,10179,0,52,39,1,12,43,121
Biobío,518141,4064,565,4629,510419,127405,4757,35893,0,142,83,1,58,79,306
Araucanía,297145,2338,469,2807,292457,59590,4666,11318,0,51,30,7,14,35,132
Los Ríos,149958,1181,209,1390,147574,47445,1889,6033,0,23,17,2,4,19,35
Los Lagos,245275,2201,268,2469,241188,40108,4445,16327,0,35,12,10,13,15,52
Aysén,37247,193,24,217,36834,14835,2640,1794,0,4,3,1,0,3,12
Magallanes,68612,646,57,703,67351,12302,3096,3289,0,16,10,3,3,11,37
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5269112,52206,8885,61091,5177657,1322763,72979,353900,1,1436,911,112,413,1015,3017
