Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,69085,695,142,837,66713,19001,1003,3441,0,219,95,113,11,106,1393
Tarapacá,97364,995,118,1113,94122,18982,560,10395,0,319,131,114,74,156,1981
Antofagasta,157722,1547,294,1841,153040,22308,1276,6821,0,428,182,152,94,137,2624
Atacama,94653,538,116,654,92344,34246,665,1745,0,273,145,51,77,199,1575
Coquimbo,174530,1483,297,1780,169545,42058,878,9391,0,623,339,222,62,247,3000
Valparaíso,406429,4747,1223,5970,395590,97766,1719,50205,1,955,541,113,301,367,4477
Metropolitana,1681734,23150,6148,29298,1639365,277002,15483,161569,9,2401,1321,264,816,668,11622
O’Higgins,186718,2059,572,2631,181487,50968,821,14802,2,470,305,117,48,242,2413
Maule,286906,2538,504,3042,278758,81540,2383,10641,1,945,632,173,140,429,4558
Ñuble,123526,974,194,1168,120069,35953,676,10181,0,434,247,35,152,173,2005
Biobío,423519,3742,684,4426,412222,80869,2032,35905,1,1175,640,278,257,414,5985
Araucanía,249033,2078,574,2652,242402,42763,1632,11311,0,819,369,169,281,177,3490
Los Ríos,123544,1041,230,1271,119694,29614,866,6034,0,469,230,43,196,208,2263
Los Lagos,215821,2004,374,2378,210536,29694,3265,16328,1,536,258,110,168,120,2333
Aysén,29770,164,27,191,28978,10140,1072,1794,0,123,89,19,15,73,528
Magallanes,59752,631,104,735,58329,7965,1680,3291,0,93,68,6,19,28,515
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4380148,48386,11603,59989,4263235,880869,36011,353854,15,10282,5592,1979,2711,3744,50762
