Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80368,736,113,849,78868,25690,1429,3438,0,0,0,0,0,0,7
Tarapacá,114980,1041,99,1140,113228,30260,941,10389,0,2,2,0,0,0,14
Antofagasta,186530,1655,189,1844,183531,34184,2474,6818,0,1,1,0,0,1,12
Atacama,120898,601,98,699,119579,54051,1970,1742,0,0,0,0,0,0,8
Coquimbo,214487,1651,241,1892,211224,65716,2464,9400,0,8,5,0,3,5,14
Valparaíso,504863,5259,1014,6273,494798,155114,3778,50215,0,5,4,0,1,5,26
Metropolitana,2006819,24854,4551,29405,1963146,422395,31633,161617,0,12,3,0,9,4,62
O’Higgins,227175,2261,433,2694,222860,73929,1684,14808,0,0,0,0,0,0,4
Maule,352447,2827,416,3243,346434,112988,4780,10638,0,0,0,0,0,0,1
Ñuble,162187,1125,160,1285,159509,58011,2089,10180,0,0,0,0,0,0,1
Biobío,519681,4094,568,4662,511102,128254,4879,35888,0,1,1,0,0,1,7
Araucanía,297843,2369,471,2840,292426,59937,4742,11316,0,0,0,0,0,0,2
Los Ríos,150135,1191,211,1402,147412,47570,1914,6033,0,0,0,0,0,0,0
Los Lagos,245622,2210,269,2479,240965,40242,4502,16327,0,0,0,0,0,0,2
Aysén,37356,195,24,219,36893,14910,2686,1794,0,0,0,0,0,0,3
Magallanes,68949,650,57,707,67508,12481,3175,3288,0,2,1,0,1,1,20
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5290382,52719,8915,61634,5189524,1335732,75140,353891,0,31,17,0,14,17,183
