Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80283,736,113,849,78824,25624,1421,3438,0,3,2,0,1,3,5
Tarapacá,114809,1041,99,1140,113105,30129,934,10389,0,1,1,0,0,1,3
Antofagasta,186419,1654,189,1843,183505,34132,2465,6818,0,1,1,0,0,1,1
Atacama,120857,600,98,698,119597,54016,1962,1742,0,0,0,0,0,0,2
Coquimbo,214362,1646,240,1886,211225,65621,2447,9400,0,2,1,0,1,0,2
Valparaíso,504609,5256,1013,6269,494869,154924,3757,50213,0,0,0,0,0,0,6
Metropolitana,2006240,24841,4549,29390,1963734,422198,31567,161609,1,5,1,0,4,1,19
O’Higgins,227154,2261,433,2694,222981,73921,1684,14808,0,1,1,0,0,1,1
Maule,352412,2826,416,3242,346592,112973,4776,10638,0,0,0,0,0,0,0
Ñuble,162164,1124,160,1284,159573,57989,2082,10180,0,0,0,0,0,0,0
Biobío,519614,4091,568,4659,511314,128230,4874,35888,0,0,0,0,0,0,1
Araucanía,297809,2367,471,2838,292585,59922,4734,11316,0,0,0,0,0,0,1
Los Ríos,150126,1190,211,1401,147483,47563,1912,6033,0,0,0,0,0,0,0
Los Lagos,245571,2209,269,2478,241073,40224,4480,16327,0,1,0,0,1,1,2
Aysén,37346,195,24,219,36903,14904,2686,1794,0,0,0,0,0,0,0
Magallanes,68825,649,57,706,67457,12436,3153,3288,0,0,0,0,0,0,3
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5288642,52686,8911,61597,5190861,1334806,74934,353881,1,14,7,0,7,8,46
