Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,54668,665,140,805,53483,11226,480,3442,0,114,44,69,1,83,353
Tarapacá,78769,962,118,1080,77410,9461,312,10394,1,56,33,13,10,18,272
Antofagasta,120410,1455,281,1736,117854,9565,550,6822,1,118,45,46,27,35,820
Atacama,64212,455,113,568,62933,15201,240,1745,1,113,50,42,21,47,744
Coquimbo,122281,1340,286,1626,119192,18231,408,9384,0,353,173,119,61,125,1506
Valparaíso,295459,4261,1198,5459,287115,55646,891,50199,2,672,381,85,206,254,3348
Metropolitana,1317177,21834,6028,27862,1279755,183881,8808,161555,12,2115,1178,283,654,517,11485
O’Higgins,145386,1899,557,2456,141399,30165,467,14803,1,306,193,87,26,144,1735
Maule,232289,2300,496,2796,226577,58492,692,10641,0,546,352,135,59,206,2960
Ñuble,96999,868,189,1057,94627,22870,369,10176,0,238,163,36,39,98,1311
Biobío,342660,3463,671,4134,333765,53903,1172,35958,1,850,444,146,260,289,4715
Araucanía,210724,1930,568,2498,206366,33572,936,11319,2,415,278,60,77,104,1941
Los Ríos,104075,954,224,1178,101969,20263,486,6035,0,167,80,32,55,77,911
Los Lagos,190411,1893,364,2257,186443,23258,794,16329,2,285,145,64,76,68,1633
Aysén,24345,147,26,173,23831,7130,653,1786,0,55,26,28,1,30,325
Magallanes,50186,591,103,694,49017,4828,912,3296,0,77,55,4,18,20,421
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3450094,45017,11364,56381,3361778,557692,18170,353884,23,6480,3640,1249,1591,2115,34480
