Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,55050,667,140,807,54029,11454,487,3439,0,108,9,89,10,95,179
Tarapacá,79141,966,118,1084,77903,9579,319,10394,1,27,9,11,7,6,134
Antofagasta,121583,1463,283,1746,119387,9923,592,6821,0,76,32,33,11,16,430
Atacama,65074,464,113,577,64246,15628,253,1744,1,48,19,16,13,24,280
Coquimbo,124546,1362,287,1649,122211,19108,426,9381,0,202,124,42,36,91,708
Valparaíso,300533,4315,1198,5513,293927,57499,916,50198,0,457,261,58,138,173,1510
Metropolitana,1336903,21997,6046,28043,1304182,188408,9057,161556,9,1843,1009,228,606,440,6363
O’Higgins,147852,1923,559,2482,144816,31182,479,14803,0,218,147,25,46,90,733
Maule,236150,2346,498,2844,232129,60093,713,10642,0,314,236,51,27,149,1199
Ñuble,98735,888,189,1077,97108,23603,374,10180,2,132,92,22,18,59,534
Biobío,348648,3529,673,4202,342243,55862,1197,35962,4,530,286,131,113,160,2098
Araucanía,213615,1957,570,2527,210409,34274,975,11319,1,204,135,19,50,52,721
Los Ríos,105123,973,226,1199,103556,20719,498,6036,0,80,39,5,36,33,339
Los Lagos,192227,1919,364,2283,189326,23699,814,16328,0,133,58,60,15,43,508
Aysén,24674,152,26,178,24366,7293,670,1794,0,21,12,8,1,16,108
Magallanes,50773,596,103,699,49829,4994,942,3295,0,39,29,2,8,12,183
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3500670,45517,11395,56912,3429709,573318,18712,353892,18,4432,2497,800,1135,1459,16027
