Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,57319,673,140,813,56018,12665,556,3440,0,121,65,54,2,59,398
Tarapacá,81795,974,118,1092,80235,10543,347,10397,2,85,45,22,18,37,384
Antofagasta,130386,1490,287,1777,127167,12576,803,6823,0,368,138,129,101,123,1304
Atacama,72682,483,113,596,70538,20077,347,1746,0,393,188,61,144,226,1524
Coquimbo,139137,1404,292,1696,134679,25914,511,9389,0,802,456,237,109,370,2673
Valparaíso,349151,4482,1213,5695,336737,75379,1210,50214,1,1951,1004,205,742,609,6758
Metropolitana,1530716,22462,6091,28553,1481776,237197,12168,161565,12,5036,2654,559,1823,1356,20524
O’Higgins,162393,1974,565,2539,157728,37947,590,14809,2,605,335,160,110,308,2119
Maule,255041,2451,499,2950,249693,68325,1212,10642,0,669,491,97,81,238,2109
Ñuble,107221,930,192,1122,104962,27745,467,10184,2,262,172,39,51,142,973
Biobío,373352,3637,678,4315,364978,63157,1431,35903,2,963,473,203,287,314,3535
Araucanía,222730,2018,571,2589,218901,36311,1129,11314,1,329,150,46,133,48,976
Los Ríos,109532,1001,228,1229,107389,22652,591,6035,1,228,104,15,109,90,719
Los Lagos,199070,1960,372,2332,195755,25187,2804,16326,0,183,97,51,35,46,610
Aysén,25992,159,27,186,25536,8055,751,1795,0,50,29,5,16,27,213
Magallanes,54187,605,103,708,53033,6161,1307,3293,0,66,35,3,28,18,326
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3870747,46703,11491,58194,3765167,689891,26224,353875,23,12111,6436,1886,3789,4011,45145
