Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,58749,675,141,816,57181,13492,597,3440,0,143,70,65,8,93,657
Tarapacá,82987,974,118,1092,81228,11094,367,10395,0,116,65,30,21,73,564
Antofagasta,134048,1491,287,1778,130557,13808,870,6822,0,232,129,60,43,111,1561
Atacama,76486,487,114,601,74197,22563,390,1747,0,246,122,27,97,199,1655
Coquimbo,146565,1412,293,1705,142075,29164,574,9387,0,434,329,61,44,205,2684
Valparaíso,364942,4519,1217,5736,354129,81176,1319,50213,1,932,663,28,241,442,5050
Metropolitana,1573072,22599,6110,28709,1530564,248240,12930,161555,3,2023,1020,171,832,668,13655
O’Higgins,167800,1985,566,2551,163243,40593,637,14805,1,298,228,9,61,175,1960
Maule,260442,2461,499,2960,255434,70470,1371,10644,2,259,228,14,17,140,1720
Ñuble,110179,931,192,1123,107859,29133,497,10183,0,192,135,15,42,102,1018
Biobío,383543,3655,679,4334,374452,66449,1538,35905,1,619,357,58,204,253,4176
Araucanía,226557,2021,571,2592,222421,37132,1183,11313,0,263,120,16,127,77,1245
Los Ríos,111636,1002,228,1230,109371,23439,636,6035,0,119,93,10,16,78,817
Los Lagos,201149,1967,372,2339,197700,25675,2829,16326,0,136,78,27,31,33,708
Aysén,26609,160,27,187,26157,8414,797,1795,0,31,15,4,12,28,205
Magallanes,54990,608,104,712,53820,6391,1346,3293,0,63,32,3,28,22,330
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3979797,46947,11520,58467,3880430,727233,27881,353858,8,6106,3684,598,1824,2699,38005
