Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79334,750,147,897,78045,24939,1355,3439,0,18,11,6,1,14,43
Tarapacá,113038,1052,119,1171,111489,28807,837,10389,0,10,7,0,3,7,43
Antofagasta,182167,1652,301,1953,179512,31762,2175,6818,0,27,18,2,7,16,107
Atacama,115766,594,121,715,114573,49868,1447,1741,0,46,26,12,8,39,177
Coquimbo,209316,1635,302,1937,206517,61536,1923,9401,0,62,54,0,8,50,181
Valparaíso,487039,5203,1234,6437,478246,141959,3077,50211,1,181,135,14,32,139,553
Metropolitana,1944577,24563,6207,30770,1905196,385179,26204,161605,2,617,400,45,172,383,2002
O’Higgins,219111,2238,577,2815,215306,68059,1373,14800,2,74,63,1,10,62,231
Maule,343765,2819,508,3327,338679,107548,4439,10643,0,82,57,8,17,54,258
Ñuble,156500,1118,200,1318,154232,53244,1600,10181,0,74,62,2,10,65,183
Biobío,505215,4104,695,4799,497710,118926,3888,35895,0,153,83,9,61,97,540
Araucanía,291218,2309,583,2892,286764,55705,4236,11318,0,73,41,7,25,43,215
Los Ríos,146379,1162,235,1397,144028,44327,1683,6034,0,48,41,1,6,41,160
Los Lagos,240728,2183,379,2562,236779,37716,4205,16328,0,57,27,4,26,24,167
Aysén,35887,193,27,220,35492,13891,2188,1794,0,7,5,1,1,6,19
Magallanes,67223,667,106,773,66047,11446,2696,3289,0,5,0,0,5,1,24
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5137305,52242,11743,63985,5048656,1234912,63326,353886,5,1534,1030,112,392,1041,4903
