Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,73022,720,144,864,71830,21087,1166,3441,0,32,13,15,4,16,107
Tarapacá,103576,1027,119,1146,102072,22149,623,10391,0,48,21,10,17,18,125
Antofagasta,167415,1597,298,1895,164836,25532,1543,6823,0,93,45,13,35,29,326
Atacama,103005,566,117,683,101863,39802,866,1743,0,82,40,16,26,67,292
Coquimbo,189671,1552,298,1850,187029,49004,1112,9390,0,149,102,30,17,80,389
Valparaíso,438360,4912,1226,6138,429948,112251,2049,50205,0,527,286,37,204,234,1337
Metropolitana,1789756,23656,6172,29828,1750132,312204,18784,161590,4,2245,1278,198,769,918,6312
O’Higgins,201434,2130,575,2705,197774,57603,986,14801,0,186,127,29,30,90,548
Maule,317522,2653,505,3158,312273,93545,3822,10643,1,455,235,89,131,184,1197
Ñuble,138416,1014,195,1209,136147,43101,910,10182,0,243,146,10,87,118,587
Biobío,465222,3901,687,4588,456995,97643,2559,35895,0,730,368,158,204,319,2272
Araucanía,271027,2173,577,2750,266718,48157,2705,11319,2,283,125,29,129,64,745
Los Ríos,133631,1098,232,1330,131335,35029,1097,6035,0,138,73,25,40,93,467
Los Lagos,227883,2078,375,2453,224231,32925,3726,16330,0,141,74,31,36,31,375
Aysén,32168,174,27,201,31735,11554,1388,1794,0,36,19,6,11,20,125
Magallanes,62948,644,105,749,61799,9257,1963,3291,0,44,26,2,16,13,147
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4715098,49895,11654,61549,4626758,1010843,45299,353873,7,5432,2978,698,1756,2294,15351
