Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80285,736,113,849,78828,25625,1421,3438,0,1,1,0,0,1,3
Tarapacá,114810,1041,99,1140,113108,30130,934,10389,0,0,0,0,0,0,1
Antofagasta,186419,1654,189,1843,183506,34132,2465,6818,0,0,0,0,0,0,0
Atacama,120859,600,98,698,119598,54018,1962,1742,0,1,1,0,0,1,3
Coquimbo,214364,1646,240,1886,211226,65621,2447,9400,0,2,0,0,2,0,3
Valparaíso,504612,5256,1013,6269,494874,154926,3757,50213,0,3,2,0,1,2,4
Metropolitana,2006250,24842,4549,29391,1963745,422201,31567,161610,1,6,2,0,4,2,18
O’Higgins,227155,2261,433,2694,222981,73921,1684,14808,0,0,0,0,0,0,2
Maule,352413,2826,416,3242,346592,112973,4776,10638,0,1,0,0,1,0,1
Ñuble,162167,1124,160,1284,159573,57992,2084,10180,0,1,1,0,0,1,3
Biobío,519616,4091,568,4659,511315,128230,4874,35888,0,1,0,0,1,0,2
Araucanía,297809,2367,471,2838,292586,59922,4734,11316,0,0,0,0,0,0,0
Los Ríos,150126,1190,211,1401,147483,47563,1912,6033,0,0,0,0,0,0,0
Los Lagos,245571,2209,269,2478,241074,40224,4480,16327,0,0,0,0,0,0,1
Aysén,37346,195,24,219,36903,14904,2686,1794,0,0,0,0,0,0,0
Magallanes,68826,649,57,706,67460,12436,3153,3288,0,0,0,0,0,0,1
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5288670,52687,8911,61598,5190893,1334818,74936,353882,1,16,7,0,9,7,42
