Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,55929,672,140,812,54910,12034,509,3439,0,35,23,9,3,13,131
Tarapacá,80207,970,118,1088,78914,9958,331,10394,0,32,16,7,9,7,146
Antofagasta,124789,1480,286,1766,122293,10883,704,6824,1,123,49,51,23,35,636
Atacama,67105,475,113,588,66182,16749,285,1745,1,84,35,22,27,41,335
Coquimbo,129237,1389,291,1680,126779,21239,458,9381,0,182,103,45,34,100,729
Valparaíso,316421,4419,1208,5627,308016,63679,1012,50212,0,767,422,109,236,286,2967
Metropolitana,1407761,22286,6072,28358,1366104,205905,10172,161566,6,2870,1630,379,861,870,14039
O’Higgins,152824,1962,563,2525,149488,33385,510,14803,0,182,104,32,46,85,877
Maule,243504,2428,498,2926,239152,63565,866,10641,0,357,260,69,28,106,1267
Ñuble,102115,925,190,1115,100449,25233,420,10180,1,78,52,5,21,49,444
Biobío,358075,3614,676,4290,351755,58749,1284,35902,2,419,238,93,88,114,1685
Araucanía,218244,2008,570,2578,215000,35300,1051,11313,0,151,83,24,44,33,527
Los Ríos,106833,997,228,1225,105249,21531,548,6037,2,71,34,6,31,28,232
Los Lagos,196085,1954,370,2324,193288,24582,2769,16333,3,65,27,22,16,19,202
Aysén,25270,158,27,185,24980,7641,699,1796,1,23,17,5,1,10,57
Magallanes,52551,602,103,705,51511,5576,1209,3293,0,44,23,3,18,13,243
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3636993,46339,11455,57794,3554112,616009,22827,353859,17,5483,3116,881,1486,1809,24517
