Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,56256,672,140,812,55161,12193,527,3440,0,43,27,12,4,25,203
Tarapacá,80558,972,118,1090,79168,10070,333,10395,0,50,20,19,11,21,233
Antofagasta,125923,1483,286,1769,123346,11273,727,6824,0,114,51,39,24,33,701
Atacama,67941,478,113,591,66772,17264,294,1745,0,104,56,27,21,75,575
Coquimbo,130919,1391,291,1682,128128,22070,466,9384,0,222,124,67,31,116,1053
Valparaíso,323807,4430,1209,5639,313903,66398,1051,50216,1,994,503,75,416,358,4410
Metropolitana,1440142,22319,6074,28393,1392602,214101,10653,161570,10,4239,2156,446,1637,1033,19735
O’Higgins,154947,1966,563,2529,151106,34295,531,14805,1,325,183,78,64,154,1348
Maule,246413,2432,499,2931,241542,64747,955,10642,1,404,300,51,53,162,1747
Ñuble,103270,927,191,1118,101338,25835,430,10179,0,87,67,4,16,73,691
Biobío,361504,3618,676,4294,354587,59706,1312,35903,3,442,213,112,117,117,2217
Araucanía,219226,2012,570,2582,215971,35506,1081,11315,2,140,86,5,49,33,506
Los Ríos,107296,1000,228,1228,105637,21707,551,6037,0,77,39,2,36,30,290
Los Lagos,196675,1955,371,2326,193790,24700,2782,16329,0,64,29,20,15,8,259
Aysén,25361,158,27,185,25085,7698,714,1796,0,13,7,2,4,6,43
Magallanes,52960,603,103,706,51920,5722,1239,3293,0,52,30,1,21,17,232
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3693241,46416,11461,57877,3600098,633285,23646,353873,18,7370,3891,960,2519,2261,34243
