Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79741,753,147,900,78398,25225,1371,3439,0,11,9,0,2,10,50
Tarapacá,113584,1054,119,1173,111983,29215,873,10389,0,15,12,0,3,15,66
Antofagasta,184047,1660,301,1961,181056,32835,2302,6818,0,124,85,7,32,69,382
Atacama,117140,598,121,719,115750,51032,1603,1741,0,95,55,22,18,80,331
Coquimbo,211422,1649,302,1951,208358,63273,2070,9402,0,124,95,9,20,99,349
Valparaíso,493815,5229,1235,6464,484123,147176,3347,50211,0,465,352,31,82,364,1208
Metropolitana,1970564,24666,6213,30879,1927736,401439,28274,161602,0,1544,1062,53,429,991,4561
O’Higgins,222347,2244,577,2821,218034,70550,1506,14803,1,198,149,20,29,145,640
Maule,347275,2846,511,3357,341607,109884,4596,10639,0,200,147,6,47,145,662
Ñuble,158579,1132,202,1334,156074,55074,1818,10181,0,111,89,1,21,91,336
Biobío,511365,4128,696,4824,503248,123181,4294,35896,0,334,230,5,99,242,898
Araucanía,293905,2345,583,2928,289075,57431,4439,11318,0,132,87,11,34,88,416
Los Ríos,148453,1177,235,1412,145882,46159,1767,6034,0,102,83,4,15,91,298
Los Lagos,243363,2199,380,2579,239015,39130,4340,16327,0,144,88,16,40,83,446
Aysén,36420,195,28,223,35941,14289,2318,1794,0,33,10,14,9,23,89
Magallanes,67717,668,106,774,66441,11747,2835,3289,0,29,18,1,10,18,89
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5199779,52543,11758,64301,5102762,1277640,67753,353883,1,3661,2571,200,890,2554,10821
