Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,58122,674,140,814,56609,13101,578,3440,0,181,82,84,15,88,607
Tarapacá,82399,974,118,1092,80781,10813,358,10395,0,152,74,48,30,85,427
Antofagasta,132443,1491,287,1778,129119,13281,845,6822,0,383,178,142,63,138,1403
Atacama,74885,485,114,599,72704,21498,369,1747,1,440,217,74,149,305,1556
Coquimbo,143451,1411,293,1704,139114,27862,548,9389,1,769,496,223,50,424,2537
Valparaíso,358640,4503,1215,5718,347674,78907,1266,50208,0,1639,1026,139,474,715,5254
Metropolitana,1556757,22535,6101,28636,1513850,244213,12632,161555,10,3740,2245,326,1169,1402,14251
O’Higgins,165578,1979,565,2544,161105,39563,625,14809,4,620,459,94,67,411,1898
Maule,258295,2456,499,2955,253162,69638,1303,10642,1,564,437,56,71,292,1867
Ñuble,108877,931,192,1123,106625,28563,484,10183,2,266,198,32,36,194,957
Biobío,379243,3647,678,4325,370563,65062,1504,35901,0,1152,642,201,309,426,3791
Araucanía,224741,2019,571,2590,220810,36771,1158,11315,1,305,155,29,121,82,1051
Los Ríos,110703,1002,228,1230,108531,23089,611,6035,0,262,157,24,81,122,735
Los Lagos,200203,1966,372,2338,196848,25457,2817,16326,1,189,94,48,47,52,625
Aysén,26345,160,27,187,25877,8267,756,1795,0,61,47,2,12,44,221
Magallanes,54650,608,103,711,53506,6297,1336,3294,0,111,51,8,52,37,307
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3935375,46841,11505,58346,3836920,712382,27190,353856,21,10834,6558,1530,2746,4817,37487
