Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,55099,667,140,807,54059,11491,486,3439,0,26,14,10,2,10,194
Tarapacá,79193,966,118,1084,77955,9596,320,10395,1,17,7,6,4,8,132
Antofagasta,121805,1463,283,1746,119623,9947,599,6821,0,93,43,32,18,12,414
Atacama,65222,464,113,577,64405,15677,255,1744,0,76,30,34,12,28,267
Coquimbo,124845,1366,287,1653,122575,19241,426,9381,0,152,86,24,42,65,636
Valparaíso,301293,4324,1198,5522,294630,57753,923,50199,1,307,168,48,91,109,1552
Metropolitana,1340149,22023,6046,28069,1307256,189128,9121,161560,4,1428,859,207,362,361,6471
O’Higgins,148209,1925,560,2485,145158,31333,483,14803,1,155,103,37,15,65,743
Maule,236665,2357,498,2855,232691,60318,720,10643,0,232,194,27,11,116,1133
Ñuble,98985,890,189,1079,97373,23687,377,10181,2,113,63,14,36,39,510
Biobío,349434,3542,673,4215,343255,56097,1206,35964,3,383,220,69,94,106,1849
Araucanía,213968,1961,570,2531,210798,34352,980,11318,1,167,103,14,50,43,677
Los Ríos,105292,977,227,1204,103735,20795,507,6034,0,71,28,15,28,32,322
Los Lagos,192810,1924,366,2290,189975,23837,1174,16328,0,103,41,37,25,39,424
Aysén,24703,152,26,178,24412,7311,671,1794,0,12,4,8,0,9,91
Magallanes,50841,597,103,700,49913,5013,951,3295,0,33,21,3,9,7,166
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3508556,45598,11399,56997,3437855,575576,19199,353899,13,3368,1984,585,799,1049,15581
