Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80241,736,113,849,78803,25592,1419,3438,0,1,1,0,0,0,6
Tarapacá,114783,1041,99,1140,113102,30109,934,10389,0,1,0,1,0,0,5
Antofagasta,186392,1652,189,1841,183521,34120,2462,6818,0,0,0,0,0,0,6
Atacama,120832,600,98,698,119601,54000,1958,1742,0,2,0,0,2,0,3
Coquimbo,214338,1646,240,1886,211268,65610,2447,9400,0,0,0,0,0,0,1
Valparaíso,504557,5254,1013,6267,495004,154892,3754,50213,0,2,1,0,1,2,4
Metropolitana,2006114,24833,4546,29379,1964250,422150,31557,161618,0,4,1,0,3,2,19
O’Higgins,227151,2260,433,2693,223045,73918,1684,14808,0,1,0,0,1,0,3
Maule,352409,2826,416,3242,346697,112971,4776,10641,0,0,0,0,0,0,0
Ñuble,162140,1124,160,1284,159602,57966,2076,10181,0,3,3,0,0,3,6
Biobío,519592,4090,567,4657,511464,128227,4871,35888,0,1,1,0,0,1,2
Araucanía,297803,2366,471,2837,292696,59921,4733,11315,0,0,0,0,0,0,1
Los Ríos,150118,1189,211,1400,147522,47563,1911,6033,0,0,0,0,0,0,1
Los Lagos,245559,2209,269,2478,241136,40221,4475,16327,0,0,0,0,0,0,0
Aysén,37345,195,24,219,36914,14903,2686,1794,0,0,0,0,0,0,1
Magallanes,68815,649,57,706,67464,12435,3150,3288,0,1,1,0,0,1,2
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5288231,52670,8907,61577,5192130,1334598,74893,353893,0,16,8,1,7,9,60
