Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,68861,693,142,835,66468,18895,996,3441,0,252,121,103,28,135,1417
Tarapacá,97042,994,118,1112,93766,18826,559,10396,1,411,203,150,58,209,2017
Antofagasta,157314,1546,294,1840,152658,22172,1268,6820,0,551,249,173,129,187,2600
Atacama,94379,536,116,652,92089,34043,654,1745,0,293,130,48,115,177,1558
Coquimbo,173903,1482,297,1779,169025,41812,869,9391,0,717,406,250,61,277,2897
Valparaíso,405482,4743,1223,5966,394769,97397,1711,50204,0,1039,606,122,311,418,4366
Metropolitana,1679229,23141,6148,29289,1637224,276334,15427,161568,10,2713,1544,256,913,768,11297
O’Higgins,186248,2059,572,2631,181064,50726,817,14800,0,535,354,79,102,274,2368
Maule,285919,2536,504,3040,277834,81098,2336,10640,0,1056,674,165,217,436,4504
Ñuble,123089,974,194,1168,119678,35779,672,10181,0,471,272,51,148,207,1962
Biobío,422353,3740,684,4424,411330,80456,2022,35904,0,1425,741,338,346,438,5718
Araucanía,248206,2076,574,2650,241679,42586,1619,11312,0,930,442,181,307,194,3391
Los Ríos,123068,1040,230,1270,119295,29406,857,6034,0,509,264,58,187,254,2190
Los Lagos,215273,2004,374,2378,210047,29570,3248,16329,1,540,254,118,168,137,2278
Aysén,29648,164,27,191,28874,10068,1072,1794,0,105,74,15,16,65,510
Magallanes,59650,630,104,734,58250,7934,1665,3291,1,117,77,4,36,29,493
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4369706,48358,11603,59961,4254091,877102,35792,353850,13,11664,6411,2111,3142,4205,49566
