Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72247,717,144,861,71089,20669,1137,3441,0,17,10,6,1,10,102
Tarapacá,102572,1018,119,1137,101062,21622,601,10391,0,43,24,14,5,17,182
Antofagasta,165085,1584,297,1881,162596,24704,1478,6821,0,81,33,25,23,25,304
Atacama,101122,561,117,678,100005,38454,803,1746,1,72,34,27,11,51,300
Coquimbo,186252,1533,297,1830,183576,47306,1054,9392,0,159,103,49,7,73,528
Valparaíso,427792,4861,1225,6086,419482,107019,1915,50202,0,436,264,54,118,208,1524
Metropolitana,1745352,23473,6165,29638,1708030,296007,17268,161579,3,1493,831,158,504,463,5034
O’Higgins,196728,2103,573,2676,193001,55417,936,14799,1,243,156,23,64,109,731
Maule,308138,2616,504,3120,302921,89694,3448,10644,1,370,290,49,31,144,1344
Ñuble,133263,1001,194,1195,130920,40528,810,10181,0,222,169,9,44,124,758
Biobío,450853,3848,685,4533,443087,91370,2353,35901,0,561,302,96,163,224,2094
Araucanía,264615,2146,576,2722,260498,46386,1963,11311,1,265,200,21,44,62,733
Los Ríos,130757,1081,231,1312,128661,33233,1017,6034,0,125,69,8,48,68,379
Los Lagos,225176,2054,374,2428,221677,32015,3594,16331,0,128,74,23,31,30,352
Aysén,31527,173,27,200,31155,11174,1305,1794,0,22,13,3,6,10,83
Magallanes,61993,642,105,747,60905,8835,1881,3290,0,25,12,5,8,16,121
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4603514,49411,11635,61046,4518706,964433,41563,353857,7,4262,2584,570,1108,1634,14569
