Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80035,731,113,844,78683,25436,1397,3439,0,5,3,2,0,3,25
Tarapacá,114149,1034,99,1133,112519,29621,907,10389,0,21,15,0,6,16,65
Antofagasta,185800,1646,189,1835,183015,33832,2406,6818,0,33,23,1,9,22,125
Atacama,119446,586,98,684,118065,52882,1807,1741,0,75,38,14,23,58,289
Coquimbo,213245,1625,240,1865,210344,64768,2194,9406,0,38,33,1,4,27,112
Valparaíso,501719,5169,1011,6180,492508,152907,3630,50212,0,162,117,12,33,121,512
Metropolitana,1997075,24623,4533,29156,1956170,416992,30570,161614,0,613,367,44,202,342,1893
O’Higgins,226051,2236,432,2668,222013,73190,1642,14807,0,85,64,10,11,66,278
Maule,351302,2799,414,3213,345852,112390,4728,10638,0,79,56,4,19,51,282
Ñuble,161253,1114,160,1274,158812,57220,2008,10179,0,70,57,2,11,61,194
Biobío,517815,4064,565,4629,509965,127210,4734,35894,0,159,103,1,55,91,447
Araucanía,297026,2336,469,2805,292271,59512,4657,11318,0,72,33,11,28,33,207
Los Ríos,149917,1180,209,1389,147525,47411,1887,6034,0,5,3,0,2,4,47
Los Lagos,245218,2200,268,2468,241100,40088,4443,16327,0,22,14,2,6,11,90
Aysén,37233,193,24,217,36802,14825,2637,1794,0,3,1,0,2,3,30
Magallanes,68568,646,57,703,67302,12277,3087,3289,0,13,7,0,6,9,46
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5265894,52182,8882,61064,5172987,1320561,72734,353899,0,1455,934,104,417,918,4642
