Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,57104,673,140,813,55914,12556,556,3440,0,80,43,29,8,38,289
Tarapacá,81604,974,118,1092,80108,10463,345,10395,0,85,45,17,23,49,325
Antofagasta,129590,1489,287,1776,126689,12355,788,6823,0,243,121,64,58,89,996
Atacama,71866,481,113,594,69939,19606,343,1746,0,378,203,56,119,295,1318
Coquimbo,137621,1400,292,1692,133626,25252,497,9389,0,593,391,165,37,372,2220
Valparaíso,345080,4470,1213,5683,333797,74157,1184,50216,2,1702,1036,141,525,756,5657
Metropolitana,1518989,22442,6090,28532,1471507,234460,11938,161563,11,3798,2242,378,1178,1531,19156
O’Higgins,161179,1971,564,2535,156774,37353,581,14807,1,510,330,101,79,308,1870
Maule,253780,2446,499,2945,248781,67865,1150,10642,0,486,365,38,83,258,1776
Ñuble,106671,928,191,1119,104511,27456,457,10182,0,220,128,47,45,134,886
Biobío,371420,3632,678,4310,363550,62585,1405,35902,1,745,412,79,254,264,3058
Araucanía,222099,2018,571,2589,218466,36201,1118,11313,2,213,120,15,78,73,795
Los Ríos,109067,1001,228,1229,107111,22498,585,6035,0,119,76,16,27,80,537
Los Lagos,198668,1960,372,2332,195478,25099,2799,16326,0,143,58,47,38,54,495
Aysén,25879,159,27,186,25436,8002,743,1795,0,49,42,3,4,37,201
Magallanes,54008,603,103,706,52912,6102,1292,3293,0,84,45,6,33,31,275
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3844668,46647,11488,58135,3744641,682010,25781,353867,17,9448,5657,1202,2589,4369,39854
