Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,61728,676,142,818,59894,15106,713,3441,0,205,101,83,21,119,901
Tarapacá,86659,977,118,1095,84198,13143,426,10395,1,290,149,118,23,169,1250
Antofagasta,141086,1505,287,1792,136740,16153,987,6822,0,693,322,198,173,204,2375
Atacama,83405,501,115,616,80459,27072,498,1744,0,530,237,77,216,341,2283
Coquimbo,156423,1435,294,1729,152051,33722,666,9392,3,669,391,204,74,314,2512
Valparaíso,380396,4604,1220,5824,371041,86970,1448,50208,1,1019,598,150,271,372,3392
Metropolitana,1614310,22798,6125,28923,1575413,258710,13815,161552,8,2553,1364,305,884,628,9424
O’Higgins,174493,2017,568,2585,170159,44218,692,14802,0,438,275,70,93,251,1664
Maule,267216,2489,499,2988,262103,73176,1572,10647,1,601,450,79,72,236,1720
Ñuble,114162,936,192,1128,111860,31134,548,10183,0,250,174,23,53,131,951
Biobío,396466,3679,682,4361,387946,70850,1690,35902,1,910,516,168,226,324,3473
Araucanía,232847,2034,572,2606,228427,38665,1292,11312,0,475,260,38,177,111,1448
Los Ríos,114601,1008,228,1236,112357,24784,701,6034,0,246,126,35,85,112,759
Los Lagos,205177,1975,373,2348,201320,26667,2952,16326,1,350,169,93,88,90,1033
Aysén,27539,160,27,187,27045,8887,882,1795,0,76,35,15,26,32,242
Magallanes,56737,613,104,717,55345,6945,1429,3292,0,163,101,19,43,53,535
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,4113288,47407,11548,58955,4016400,776202,30311,353847,16,9468,5268,1675,2525,3487,33962
