Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,55163,667,140,807,54098,11526,486,3439,0,18,8,10,0,8,218
Tarapacá,79251,966,118,1084,78042,9615,320,10393,0,18,13,2,3,4,101
Antofagasta,121981,1463,284,1747,119873,10003,603,6821,0,19,11,7,1,6,335
Atacama,65317,464,113,577,64534,15725,257,1744,0,22,17,3,2,14,233
Coquimbo,125102,1368,288,1656,122989,19327,429,9382,0,73,52,5,16,32,473
Valparaíso,302106,4331,1198,5529,295800,58013,925,50199,0,159,121,10,28,80,1182
Metropolitana,1343314,22062,6052,28114,1311415,189791,9165,161567,5,681,334,84,263,202,5401
O’Higgins,148485,1927,561,2488,145623,31427,488,14802,0,49,35,8,6,15,543
Maule,237136,2368,498,2866,233504,60518,725,10644,1,86,75,6,5,45,772
Ñuble,99183,894,189,1083,97684,23763,378,10180,0,50,40,6,4,27,383
Biobío,350137,3554,673,4227,344382,56288,1214,35962,1,140,99,4,37,45,1403
Araucanía,214314,1967,570,2537,211282,34428,987,11319,0,67,28,9,30,14,525
Los Ríos,105433,978,227,1205,103926,20845,511,6034,0,32,19,0,13,14,265
Los Lagos,193240,1927,366,2293,190495,23928,1389,16330,0,32,23,2,7,5,320
Aysén,24756,152,26,178,24474,7337,673,1794,0,12,6,6,0,7,82
Magallanes,50917,598,103,701,50025,5033,958,3294,0,20,14,0,6,6,128
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3515878,45686,11408,57094,3448188,577567,19508,353904,7,1478,895,162,421,524,12364
