Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,70966,704,143,847,69346,19963,1070,3441,0,133,6,2,125,65,618
Tarapacá,100313,1000,118,1118,98150,20523,580,10393,0,192,31,1,160,94,890
Antofagasta,161567,1560,294,1854,158056,23659,1359,6820,0,297,46,8,243,109,1409
Atacama,97672,547,116,663,95724,36167,728,1745,0,279,29,3,247,153,1191
Coquimbo,180376,1505,297,1802,176478,44701,961,9392,0,480,117,50,313,200,1859
Valparaíso,415376,4781,1224,6005,405940,101399,1788,50201,0,707,133,19,555,280,2944
Metropolitana,1706993,23252,6154,29406,1666574,284500,16027,161572,4,2353,419,134,1800,632,9202
O’Higgins,191194,2076,573,2649,186695,53316,869,14799,0,373,67,16,290,192,1632
Maule,296486,2571,504,3075,289627,85364,2795,10640,0,752,182,14,556,313,3175
Ñuble,127641,986,194,1180,124798,37884,727,10181,1,366,47,4,315,160,1345
Biobío,435121,3770,685,4455,425435,85363,2147,35912,2,1084,211,16,857,347,4274
Araucanía,256618,2105,575,2680,251058,44568,1727,11312,0,637,84,47,506,131,2335
Los Ríos,127121,1057,230,1287,124295,31387,928,6034,0,292,36,3,253,139,1202
Los Lagos,220573,2020,374,2394,216179,30872,3416,16332,1,370,63,27,280,95,1376
Aysén,30651,167,27,194,30121,10675,1142,1794,0,64,8,4,52,37,263
Magallanes,60934,638,104,742,59644,8389,1786,3290,1,67,7,2,58,23,355
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4479644,48739,11614,60353,4378161,918730,38050,353858,9,8446,1486,350,6610,2970,34070
