Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,60673,675,141,816,58684,14518,659,3440,0,230,126,88,16,126,1063
Tarapacá,85084,976,118,1094,82794,12264,397,10396,1,267,122,108,37,152,1084
Antofagasta,138120,1497,287,1784,134116,15121,935,6821,1,531,252,203,76,178,2044
Atacama,80673,494,115,609,77710,25339,447,1745,0,548,246,88,214,360,2312
Coquimbo,152933,1426,293,1719,148092,32065,618,9389,1,829,455,285,89,355,3004
Valparaíso,375315,4572,1219,5791,365228,85037,1398,50209,0,1160,654,110,396,407,4215
Metropolitana,1600676,22721,6119,28840,1559863,255287,13514,161548,5,2610,1471,320,819,678,11573
O’Higgins,172189,2007,568,2575,167694,42982,676,14804,1,467,307,120,40,247,1854
Maule,264724,2475,499,2974,259519,72205,1500,10643,0,497,379,56,62,200,1860
Ñuble,112805,934,192,1126,110302,30462,533,10182,0,359,217,56,86,155,1174
Biobío,391891,3669,680,4349,382955,69202,1632,35904,4,947,482,149,316,294,3945
Araucanía,230435,2025,572,2597,225945,38061,1245,11313,0,464,217,65,182,92,1554
Los Ríos,113526,1004,228,1232,111204,24280,684,6034,0,232,126,27,79,104,851
Los Lagos,203582,1973,373,2346,199710,26299,2905,16326,0,342,177,99,66,86,1074
Aysén,27208,160,27,187,26675,8719,864,1795,0,71,43,15,13,24,285
Magallanes,56001,612,104,716,54641,6728,1401,3292,0,123,73,16,34,46,508
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,4065878,47220,11537,58757,3965174,758569,29408,353841,13,9677,5347,1805,2525,3504,38400
