Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,73540,721,144,865,72273,21355,1180,3441,0,29,13,16,0,18,161
Tarapacá,104322,1029,119,1148,102721,22562,645,10390,0,45,23,3,19,27,209
Antofagasta,169319,1603,298,1901,166459,26268,1615,6822,0,95,47,19,29,36,567
Atacama,104523,568,117,685,103188,40952,919,1743,0,79,40,11,28,50,466
Coquimbo,192298,1561,298,1859,189364,50477,1222,9389,0,186,116,35,35,102,641
Valparaíso,447699,4944,1228,6172,438058,117256,2165,50205,1,643,416,36,191,370,2416
Metropolitana,1823729,23789,6177,29966,1781938,326889,19741,161585,3,2167,975,123,1069,956,7962
O’Higgins,204407,2141,576,2717,200458,59086,1017,14802,0,173,96,15,62,67,785
Maule,323122,2677,506,3183,317551,96213,3928,10642,0,349,178,88,83,153,1417
Ñuble,142575,1030,195,1225,139868,45204,1004,10183,0,248,114,11,123,108,964
Biobío,474589,3927,688,4615,466333,102001,2693,35894,0,552,251,47,254,231,2162
Araucanía,276338,2185,580,2765,271798,49582,3763,11321,1,257,78,19,160,54,892
Los Ríos,136225,1107,232,1339,133721,36735,1177,6035,0,106,84,15,7,89,627
Los Lagos,229864,2083,375,2458,226056,33548,3776,16330,0,113,41,14,58,27,481
Aysén,32905,176,27,203,32431,11962,1442,1794,0,42,24,11,7,21,160
Magallanes,63724,645,105,750,62507,9613,2022,3291,0,40,19,3,18,15,198
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4799221,50186,11667,61853,4704765,1049703,48309,353867,5,5124,2515,466,2143,2324,20108
