Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80184,734,113,847,78805,25550,1413,3439,0,3,1,1,1,2,4
Tarapacá,114614,1038,99,1137,112982,29978,929,10389,0,6,1,0,5,3,20
Antofagasta,186273,1651,189,1840,183533,34084,2453,6818,0,2,1,0,1,0,8
Atacama,120596,594,98,692,119408,53825,1936,1741,0,15,9,2,4,9,50
Coquimbo,214129,1641,240,1881,211179,65472,2369,9401,0,14,10,1,3,11,35
Valparaíso,504048,5230,1012,6242,494949,154570,3736,50207,0,21,14,1,6,15,73
Metropolitana,2005014,24766,4540,29306,1964695,421651,31431,161604,1,67,40,8,19,36,214
O’Higgins,227057,2256,433,2689,223136,73868,1681,14808,0,2,2,0,0,1,18
Maule,352311,2822,416,3238,346911,112919,4769,10639,0,8,5,0,3,2,27
Ñuble,162018,1119,160,1279,159652,57856,2069,10179,0,7,5,0,2,5,18
Biobío,519428,4085,566,4651,511720,128156,4862,35887,0,6,4,0,2,4,29
Araucanía,297724,2361,470,2831,292943,59892,4722,11314,0,5,2,0,3,2,17
Los Ríos,150095,1189,209,1398,147637,47554,1908,6033,0,4,2,1,1,2,6
Los Lagos,245520,2209,269,2478,241318,40211,4463,16327,0,5,1,1,3,0,11
Aysén,37320,194,24,218,36904,14883,2668,1794,0,0,0,0,0,0,3
Magallanes,68773,649,57,706,67490,12413,3140,3288,0,2,0,0,2,0,10
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5285146,52538,8896,61434,5193303,1332882,74549,353868,1,167,97,15,55,92,543
