Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,75341,727,144,871,74022,22378,1242,3441,0,38,21,14,3,28,171
Tarapacá,106621,1033,119,1152,104969,24158,705,10390,0,55,41,2,12,46,230
Antofagasta,174028,1615,298,1913,171393,28109,1789,6821,0,69,52,2,15,46,285
Atacama,108339,573,117,690,107052,43889,1056,1740,0,100,40,22,38,84,368
Coquimbo,198752,1587,298,1885,195978,54314,1431,9397,0,121,98,20,3,79,382
Valparaíso,465819,5038,1231,6269,457392,127518,2474,50201,1,214,176,6,32,177,890
Metropolitana,1875011,24082,6187,30269,1837698,349623,21729,161593,1,549,350,32,167,347,2352
O’Higgins,210985,2176,576,2752,207406,62943,1115,14802,0,66,63,1,2,47,292
Maule,332624,2732,507,3239,327787,101014,4094,10644,1,121,84,1,36,85,464
Ñuble,149648,1063,197,1260,147459,48759,1201,10182,0,86,54,2,30,53,332
Biobío,486677,3980,688,4668,479584,107701,2866,35893,0,165,114,4,47,113,750
Araucanía,282568,2231,580,2811,278406,51492,3902,11320,0,61,27,3,31,22,319
Los Ríos,140748,1126,232,1358,138529,39824,1365,6034,0,77,55,3,19,57,248
Los Lagos,234669,2111,376,2487,230898,35311,3928,16331,0,68,27,3,38,33,304
Aysén,34199,182,27,209,33810,12812,1694,1794,0,14,5,2,7,12,54
Magallanes,65156,656,106,762,63998,10313,2217,3289,0,30,20,1,9,17,94
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4941227,50912,11685,62597,4856422,1120158,52808,353872,3,1834,1227,118,489,1246,7535
