Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,71684,709,144,853,70411,20375,1112,3441,0,31,24,6,1,22,246
Tarapacá,101688,1010,119,1129,99927,21195,589,10391,0,45,29,12,4,23,461
Antofagasta,163502,1570,296,1866,160684,24242,1415,6820,0,57,48,5,4,30,687
Atacama,99557,553,117,670,98078,37369,775,1745,0,41,33,2,6,27,701
Coquimbo,183485,1519,297,1816,180390,46000,1014,9392,1,103,84,19,0,57,1017
Valparaíso,420839,4809,1224,6033,412485,103746,1850,50202,2,275,184,15,76,158,1759
Metropolitana,1723937,23340,6162,29502,1686796,289305,16564,161581,7,656,425,52,179,312,5499
O’Higgins,193839,2088,573,2661,190011,54231,907,14799,0,112,93,7,12,39,918
Maule,302176,2588,504,3092,296780,87388,3117,10643,3,204,185,8,11,87,1640
Ñuble,130301,991,194,1185,127962,39089,767,10181,0,116,81,12,23,58,814
Biobío,442480,3803,685,4488,434258,88079,2239,35906,0,341,239,55,47,146,2709
Araucanía,260811,2120,575,2695,256333,45483,1874,11313,0,161,90,21,50,47,1189
Los Ríos,128956,1070,231,1301,126671,32285,983,6034,0,107,63,4,40,59,630
Los Lagos,223002,2038,374,2412,219250,31412,3512,16333,2,75,45,5,25,25,686
Aysén,31023,169,27,196,30650,10881,1148,1794,0,13,6,0,7,11,99
Magallanes,61536,640,104,744,60384,8625,1842,3289,0,20,13,0,7,13,207
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4538858,49017,11628,60645,4451111,939705,39708,353864,15,2357,1642,223,492,1114,19262
