Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,72459,718,144,862,71242,20780,1146,3441,0,25,21,3,1,12,151
Tarapacá,102788,1022,119,1141,101295,21721,605,10391,0,28,14,8,6,11,154
Antofagasta,165661,1588,297,1885,163037,24907,1494,6822,0,87,37,27,23,35,417
Atacama,101482,562,117,679,100395,38703,812,1745,0,52,24,14,14,37,260
Coquimbo,187158,1538,298,1836,184450,47732,1067,9390,0,127,77,47,3,76,530
Valparaíso,430361,4875,1225,6100,421933,108242,1939,50203,2,356,180,55,121,150,1561
Metropolitana,1754099,23505,6166,29671,1715933,298679,17559,161583,4,1285,672,153,460,417,5623
O’Higgins,197983,2114,573,2687,194167,55966,953,14799,0,147,101,24,22,57,789
Maule,310466,2629,504,3133,305206,90515,3596,10642,0,267,196,33,38,97,1343
Ñuble,134458,1007,194,1201,132170,41040,823,10182,0,157,93,12,52,65,679
Biobío,453948,3868,685,4553,446190,92567,2399,35900,0,417,241,63,113,152,2009
Araucanía,265970,2154,576,2730,261776,46701,2012,11309,0,204,125,26,53,37,749
Los Ríos,131379,1086,231,1317,129255,33591,1038,6035,0,96,64,8,24,60,374
Los Lagos,225824,2059,374,2433,222245,32210,3624,16331,0,108,64,25,19,41,404
Aysén,31660,173,27,200,31299,11258,1324,1794,0,25,14,3,8,20,68
Magallanes,62185,643,105,748,61091,8929,1896,3291,0,18,15,1,2,11,118
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4627923,49541,11637,61178,4541725,973541,42287,353858,6,3399,1938,502,959,1278,15229
