Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,78892,740,144,884,77589,24647,1331,3440,0,53,37,9,7,37,112
Tarapacá,112205,1041,119,1160,110579,28258,793,10390,0,67,35,2,30,52,178
Antofagasta,180350,1632,300,1932,177581,30859,2073,6820,0,174,91,14,69,84,343
Atacama,113416,582,120,702,112057,47953,1286,1741,0,179,107,37,35,161,398
Coquimbo,205932,1614,299,1913,203000,59085,1745,9399,0,226,183,15,28,158,440
Valparaíso,479803,5132,1232,6364,470993,136983,2862,50208,0,470,342,12,116,350,982
Metropolitana,1921507,24360,6194,30554,1882798,372347,24431,161591,1,1266,762,62,442,704,2731
O’Higgins,216503,2224,577,2801,212787,66314,1260,14799,0,119,104,6,9,89,290
Maule,339808,2781,507,3288,334812,105187,4302,10644,0,209,146,9,54,140,439
Ñuble,153965,1096,197,1293,151723,51325,1414,10181,0,150,103,3,44,105,296
Biobío,498993,4052,691,4743,491605,114843,3497,35894,0,374,229,28,117,215,776
Araucanía,287770,2276,581,2857,283427,53799,4066,11317,1,169,97,15,57,96,338
Los Ríos,144614,1148,233,1381,142347,42863,1557,6034,0,109,79,1,29,95,194
Los Lagos,238987,2152,376,2528,235196,37015,4106,16328,0,91,35,14,42,31,193
Aysén,35237,187,27,214,34846,13486,1949,1794,0,24,18,4,2,23,43
Magallanes,66813,664,106,770,65658,11204,2607,3288,0,17,11,4,2,9,55
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5074837,51681,11705,63386,4987039,1196168,59279,353868,2,3697,2379,235,1083,2349,7808
