Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,73442,721,144,865,72187,21302,1177,3441,0,58,32,20,6,24,151
Tarapacá,104199,1029,119,1148,102627,22493,641,10391,0,77,51,8,18,41,184
Antofagasta,169009,1602,298,1900,166234,26144,1596,6822,0,221,105,43,73,69,487
Atacama,104288,568,117,685,103022,40789,902,1743,0,156,59,32,65,110,399
Coquimbo,191885,1561,298,1859,189057,50256,1205,9389,0,291,173,79,39,141,540
Valparaíso,446008,4939,1228,6167,436787,116408,2151,50206,1,973,524,89,360,475,2022
Metropolitana,1818397,23760,6176,29936,1777796,324615,19611,161586,4,3408,1570,264,1574,1308,6851
O’Higgins,203928,2136,576,2712,200062,58828,1012,14802,1,355,198,63,94,184,710
Maule,322236,2670,505,3175,316821,95779,3913,10644,0,726,366,110,250,307,1290
Ñuble,141907,1025,195,1220,139286,44870,993,10183,1,473,200,15,258,209,894
Biobío,473354,3921,688,4609,465388,101487,2677,35894,0,896,377,204,315,354,1912
Araucanía,275677,2184,579,2763,271231,49432,3752,11321,3,440,189,85,166,126,807
Los Ríos,135871,1107,232,1339,133451,36513,1157,6035,0,272,111,67,94,161,546
Los Lagos,229544,2081,375,2456,225792,33445,3770,16330,0,223,106,50,67,70,434
Aysén,32806,176,27,203,32343,11921,1441,1794,0,74,44,5,25,38,150
Magallanes,63605,645,105,750,62392,9567,2017,3291,0,102,59,1,42,37,196
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4786198,50125,11664,61789,4694517,1043849,48015,353872,10,8745,4164,1135,3446,3654,17573
