Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,73195,720,144,864,71993,21170,1168,3441,0,23,14,3,6,12,112
Tarapacá,103858,1028,119,1147,102309,22287,634,10391,0,49,36,4,9,25,163
Antofagasta,168125,1600,298,1898,165429,25787,1562,6824,0,110,51,9,50,40,422
Atacama,103602,567,117,684,102364,40259,888,1743,0,131,60,27,44,111,380
Coquimbo,190748,1556,298,1854,187908,49625,1163,9390,1,192,119,69,4,111,570
Valparaíso,441869,4923,1226,6149,432842,114066,2096,50205,1,668,367,85,216,325,1892
Metropolitana,1804134,23702,6174,29876,1762940,318145,19224,161586,3,2489,1346,180,963,1070,7700
O’Higgins,202644,2133,575,2708,198796,58184,994,14800,0,249,124,82,43,109,711
Maule,319883,2659,505,3164,314470,94556,3878,10644,1,399,221,88,90,172,1325
Ñuble,140015,1019,195,1214,137523,43874,949,10184,1,312,138,18,156,159,788
Biobío,469551,3911,687,4598,461015,99623,2610,35893,0,726,332,174,220,312,2533
Araucanía,273905,2179,577,2756,269350,48894,3713,11318,0,349,181,40,128,96,952
Los Ríos,134791,1101,232,1333,132243,35733,1128,6035,0,209,85,28,96,99,694
Los Lagos,228712,2078,375,2453,224973,33174,3751,16330,0,148,103,32,13,40,443
Aysén,32481,175,27,202,31974,11718,1402,1794,0,62,38,13,11,25,196
Magallanes,63220,645,105,750,62052,9387,1989,3292,1,47,33,3,11,23,158
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,4750775,49996,11656,61652,4658222,1026482,47149,353870,8,6163,3248,855,2060,2729,19039
