Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,79660,753,147,900,78350,25178,1369,3439,0,10,8,1,1,9,32
Tarapacá,113421,1053,119,1172,111833,29091,856,10389,0,23,14,1,8,15,60
Antofagasta,183317,1659,301,1960,180464,32422,2238,6818,0,85,63,5,17,41,257
Atacama,116639,597,121,718,115395,50601,1541,1741,0,59,29,19,11,51,192
Coquimbo,210702,1646,302,1948,207756,62669,2031,9402,0,82,69,4,9,72,259
Valparaíso,491342,5224,1234,6458,482049,145196,3249,50210,0,314,237,10,67,228,874
Metropolitana,1961217,24639,6211,30850,1919844,395534,27585,161606,1,1133,779,54,300,692,3321
O’Higgins,221141,2244,577,2821,217037,69623,1458,14800,0,161,132,8,21,135,452
Maule,345967,2840,509,3349,340553,108993,4541,10642,0,135,97,6,32,94,453
Ñuble,157828,1125,202,1327,155440,54419,1734,10181,0,92,73,2,17,81,244
Biobío,509477,4124,696,4820,501591,121902,4191,35895,0,239,159,16,64,146,733
Araucanía,293002,2335,583,2918,288311,56831,4362,11318,0,113,77,15,21,69,328
Los Ríos,147764,1175,235,1410,145231,45553,1742,6034,0,95,60,7,28,83,284
Los Lagos,242475,2193,380,2573,238159,38627,4305,16328,0,147,80,23,44,82,449
Aysén,36234,194,28,222,35792,14153,2264,1794,0,18,6,6,6,14,59
Magallanes,67542,668,106,774,66296,11632,2778,3289,0,19,11,1,7,9,68
Se desconoce región de origen,42,0,2,2,41,0,0,0,0,0,0,0,0,0,0
Total,5177770,52469,11753,64222,5084142,1262424,66244,353886,1,2725,1894,178,653,1821,8065
