Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,80295,736,113,849,78826,25633,1423,3438,0,2,1,1,0,1,6
Tarapacá,114832,1041,99,1140,113108,30147,934,10389,0,7,6,0,1,6,15
Antofagasta,186429,1654,189,1843,183494,34137,2465,6818,0,3,0,0,3,1,4
Atacama,120865,600,98,698,119595,54024,1964,1742,0,1,1,0,0,1,4
Coquimbo,214372,1647,240,1887,211210,65624,2448,9400,0,1,0,0,1,1,3
Valparaíso,504630,5257,1013,6270,494820,154939,3760,50215,0,3,3,0,0,3,12
Metropolitana,2006302,24843,4550,29393,1963564,422217,31574,161610,0,5,3,0,2,2,26
O’Higgins,227157,2261,433,2694,222952,73921,1684,14808,0,1,0,0,1,0,2
Maule,352415,2826,416,3242,346557,112974,4776,10638,0,0,0,0,0,0,1
Ñuble,162172,1125,160,1285,159557,57998,2085,10180,0,2,1,0,1,2,3
Biobío,519621,4092,568,4660,511268,128230,4875,35888,0,0,0,0,0,0,4
Araucanía,297811,2368,471,2839,292539,59922,4736,11316,0,0,0,0,0,0,1
Los Ríos,150126,1190,211,1401,147464,47563,1912,6033,0,0,0,0,0,0,0
Los Lagos,245573,2209,269,2478,241040,40224,4483,16327,0,0,0,0,0,0,1
Aysén,37346,195,24,219,36900,14904,2686,1794,0,0,0,0,0,0,0
Magallanes,68830,649,57,706,67451,12437,3153,3288,0,1,0,0,1,0,1
Se desconoce región de origen,42,0,1,1,41,0,0,0,0,0,0,0,0,0,0
Total,5288818,52693,8912,61605,5190386,1334894,74958,353884,0,26,15,1,10,17,83
