Region,Casos totales acumulados,Fallecidos confirmados totales,Fallecidos sospechosos probables u otros totales,Fallecidos totales,Casos confirmados recuperados,Casos confirmados por antigeno,Casos con sospecha de reinfeccion,Casos probables acumulados,Casos activos probables,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Casos nuevos reportados por laboratorio,Casos nuevos confirmados por antigeno,Casos activos confirmados
Arica y Parinacota,54879,667,140,807,53862,11330,484,3442,0,33,18,15,0,19,177
Tarapacá,78991,965,118,1083,77725,9522,317,10393,0,25,17,5,3,3,168
Antofagasta,121157,1460,282,1742,118824,9787,569,6822,0,149,41,89,19,64,580
Atacama,64813,459,113,572,63804,15503,251,1743,1,100,30,54,16,49,465
Coquimbo,123757,1353,287,1640,121132,18782,420,9382,1,268,174,53,41,88,1020
Valparaíso,298776,4288,1198,5486,291381,56881,907,50198,2,504,304,80,120,203,2349
Metropolitana,1329262,21932,6040,27972,1294435,186655,8945,161553,11,1747,929,252,566,403,8651
O’Higgins,146999,1911,559,2470,143642,30811,476,14803,0,257,182,50,25,103,1079
Maule,234765,2324,497,2821,230232,59481,708,10642,2,398,282,77,39,144,1741
Ñuble,98108,882,189,1071,96157,23323,371,10178,1,140,90,28,22,63,869
Biobío,346471,3503,673,4176,339278,55134,1186,35958,2,538,286,93,159,189,2937
Araucanía,212676,1946,570,2516,208953,34043,961,11319,1,284,167,32,85,49,1274
Los Ríos,104715,964,226,1190,103022,20570,494,6036,1,116,61,31,24,63,483
Los Lagos,191620,1906,364,2270,188468,23525,809,16329,2,183,96,53,34,47,784
Aysén,24569,150,26,176,24219,7232,662,1794,0,32,11,21,0,11,154
Magallanes,50574,592,103,695,49519,4937,929,3296,0,49,33,3,13,14,300
Se desconoce región de origen,43,0,2,2,42,0,0,0,0,0,0,0,0,0,0
Total,3482175,45302,11387,56689,3404695,567516,18489,353888,24,4823,2721,936,1166,1512,23031
